アフターシェーブローション	after|shave|lotion	AE1_F_T_ER0|SH_EY1_V|L_OW1_SH_AH0_N
ビートルズ	beatles	B_IY1_T_AH0_L_Z
ビーナス	venus	V_IY1_N_AH0_S
ヴィーナス	venus	V_IY1_N_AH0_S
ウェヌス	venus	V_IY1_N_AH0_S
ビーバー	beaver	B_IY1_V_ER0
ビバ	beaver	B_IY1_V_ER0
ビーバ	beaver	B_IY1_V_ER0
ビーフ	beef	B_IY1_F
ビーフステーキ	beefsteak	B_IY1_F_S_T_EY2_K
ビープ	beep	B_IY1_P
ビーム	beam	B_IY1_M
ビエンナーレ	biennale	B_IY0_EH1_N_EY2_L
ビオラ	viola	V_AY0_OW1_L_AH0
ヴィオラ	viola	V_AY0_OW1_L_AH0
ヴィオーラ	viola	V_AY0_OW1_L_AH0
ビキニ	bikini	B_IH0_K_IY1_N_IY0
ビギナー	beginner	B_IH0_G_IH1_N_ER0
ビクター	victor	V_IH1_K_T_ER0
ビクタ	victor	V_IH1_K_T_ER0
ビクトリー	victory	V_IH1_K_T_AH0_R_IY0
ヴィクトリー	victory	V_IH1_K_T_AH0_R_IY0
ビクトリア	victoria	V_IH0_K_T_AO1_R_IY0_AH0
ヴィクトリア	victoria	V_IH0_K_T_AO1_R_IY0_AH0
ビザ	visa	V_IY1_Z_AH0
ビザー	visa	V_IY1_Z_AH0
ビーザ	visa	V_IY1_Z_AH0
ビショップ	bishop	B_IH1_SH_AH0_P
ビジー	busy	B_IH1_Z_IY0
ビジター	visitor	V_IH1_Z_IH0_T_ER0
ビズィタ	visitor	V_IH1_Z_IH0_T_ER0
ビジネス	business	B_IH1_Z_N_AH0_S
ビジネスマン	businessman	B_IH1_Z_N_AH0_S_M_AE2_N
ビジネスライク	businesslike	B_IH1_Z_N_IH0_S_L_AY2_K
ビジュアライズ	visualize	V_IH1_ZH_W_AH0_L_AY2_Z
ビジュアライゼーション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ビジュアライゼイション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ヴィジュアライゼイション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ビシュアライゼイション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ビジュアリゼーション	visualization	V_IH2_ZH_W_AH0_L_AH0_Z_EY1_SH_AH0_N
ビジュアル	visual	V_IH1_ZH_AH0_W_AH0_L
ヴィジュアル	visual	V_IH1_ZH_AH0_W_AH0_L
ビジョン	vision	V_IH1_ZH_AH0_N
ヴィジョン	vision	V_IH1_ZH_AH0_N
ビスク	bisque	B_IH1_S_K
ビスケット	cookie	K_UH1_K_IY0
ビストロ	bistro	B_IH1_S_T_R_OW0
ビスムス	bismuth	B_IH1_Z_M_AH0_TH
ビスマス	bismuth	B_IH1_Z_M_AH0_TH
ビタミン	vitamin	V_AY1_T_AH0_M_AH0_N
ヴィタミン	vitamin	V_AY1_T_AH0_M_AH0_N
バイタミン	vitamin	V_AY1_T_AH0_M_AH0_N
ビッグ	big	B_IH1_G
ビット	bit	B_IH1_T
ビト	bit	B_IH1_T
ビデオ	video	V_IH1_D_IY0_OW0
ヴィデオ	video	V_IH1_D_IY0_OW0
ビディオウ	video	V_IH1_D_IY0_OW0
ヴデオ	video	V_IH1_D_IY0_OW0
ビデオカセット	videocassette	V_IH1_D_IY0_OW0_K_AE0_S_EH2_T
ビデオテックス	videotex	V_IH1_D_IY0_OW0_T_EH2_K_S
ビニール	vinyl	V_AY1_N_AH0_L
ビニル	vinyl	V_AY1_N_AH0_L
バイナル	vinyl	V_AY1_N_AH0_L
ビネガー	vinegar	V_IH1_N_AH0_G_ER0
ヴィネガー	vinegar	V_IH1_N_AH0_G_ER0
ビハインド	behind	B_IH0_HH_AY1_N_D
ビビッド	vivid	V_IH1_V_IH0_D
ヴィヴィッド	vivid	V_IH1_V_IH0_D
ビフテキ	beefsteak	B_IY1_F_S_T_EY2_K
ビブラート	vibrato	V_IY0_B_R_AA1_T_OW0
ヴィブラート	vibrato	V_IY0_B_R_AA1_T_OW0
ビブリオグラフィー	bibliography	B_IH2_B_L_IY0_AA1_G_R_AH0_F_IY0
ビュー	view	V_Y_UW1
ブュー	view	V_Y_UW1
ビューアー	viewer	V_Y_UW1_ER0
ビューア	viewer	V_Y_UW1_ER0
ビューワー	viewer	V_Y_UW1_ER0
ビューワ	viewer	V_Y_UW1_ER0
ビュアー	viewer	V_Y_UW1_ER0
ビュワー	viewer	V_Y_UW1_ER0
ビュア	viewer	V_Y_UW1_ER0
ビューティー	beauty	B_Y_UW1_T_IY0
ビューティ	beauty	B_Y_UW1_T_IY0
ビューティフル	beautiful	B_Y_UW1_T_AH0_F_AH0_L
ビューポイント	viewpoint	V_Y_UW1_P_OY2_N_T
ブューポイント	viewpoint	V_Y_UW1_P_OY2_N_T
ビューロー	bureau	B_Y_UH1_R_OW0
ビューロクラシー	bureaucracy	B_Y_UH0_R_AA1_K_R_AH0_S_IY0
ビューロクラット	bureaucrat	B_Y_UH1_R_AH0_K_R_AE2_T
ビュッフェ	buffet	B_AH1_F_AH0_T
バフェ	buffet	B_AH1_F_AH0_T
バフェイ	buffet	B_AH1_F_AH0_T
バッフェイ	buffet	B_AH1_F_AH0_T
ビリオネア	billionaire	B_IH2_L_Y_AH0_N_EH1_R
ビリヤード	billiards	B_IH1_L_Y_ER0_D_Z
ビリアード	billiards	B_IH1_L_Y_ER0_D_Z
ビルダ	builder	B_IH1_L_D_ER0
ビルダー	builder	B_IH1_L_D_ER0
ビルディング	building	B_IH1_L_D_IH0_NG
ビルボード	billboard	B_IH1_L_B_AO2_R_D
ビルマ	burma	B_ER1_M_AH0
ビレッジ	village	V_IH1_L_AH0_JH
ヴィレッジ	village	V_IH1_L_AH0_JH
ビンゴ	bingo	B_IH1_NG_G_OW0
ヴィンテージ	vintage	V_IH1_N_T_IH0_JH
ビンテージ	vintage	V_IH1_N_T_IH0_JH
ビンテイジ	vintage	V_IH1_N_T_IH0_JH
ピーク	peak	P_IY1_K
ピーコック	peacock	P_IY1_K_AA2_K
ピース	peace	P_IY1_S
ピースワーク	piecework	P_IY1_S_W_ER2_K
ピーチ	peach	P_IY1_CH
ピーナッツ	peanut	P_IY1_N_AH0_T
ピーナツ	peanut	P_IY1_N_AH0_T
ピープル	people	P_IY1_P_AH0_L
ピアジェ	piaget	P_IY2_AH0_ZH_EY1
ピアッツァ	piazza	P_IY0_AE1_Z_AH0
ピアニスト	pianist	P_IY0_AE1_N_AH0_S_T
ピアノ	piano	P_IY0_AE1_N_OW0
ピヤノ	piano	P_IY0_AE1_N_OW0
ピカソ	picasso	P_IH0_K_AA1_S_OW0
ピカレスク	picaresque	P_IH2_K_AH0_R_EH1_S_K
ピギーバック	piggyback	P_IH1_G_IY0_B_AE2_K
ピクセル	pixel	P_IH1_K_S_AH0_L
ピクチャー	picture	P_IH1_K_CH_ER0
ピクチャ	picture	P_IH1_K_CH_ER0
ピクニック	picnic	P_IH1_K_N_IH2_K
ピクルス	pickles	P_IH1_K_AH0_L_Z
ピックルス	pickles	P_IH1_K_AH0_L_Z
ピグミー	pygmy	P_IH1_G_M_IY0
ピケ	pique	P_IY1_K
ピケット	picket	P_IH1_K_IH0_T
ピザ	pizza	P_IY1_T_S_AH0
ピッツァ	pizza	P_IY1_T_S_AH0
ピッツア	pizza	P_IY1_T_S_AH0
ピストル	pistol	P_IH1_S_T_AH0_L
ピストン	piston	P_IH1_S_T_AH0_N
ピック	pick	P_IH1_K
ピッコロ	piccolo	P_IH1_K_AH0_L_OW2
ピッチ	pace	P_EY1_S
ピッチャー	pitcher	P_IH1_CH_ER0
ピッチング	pitching	P_IH1_CH_IH0_NG
ピット	pit	P_IH1_T
ピボット	pivot	P_IH1_V_AH0_T
ピヴォット	pivot	P_IH1_V_AH0_T
ピポット	pivot	P_IH1_V_AH0_T
ピューリタン	puritan	P_Y_UH1_R_AH0_T_AH0_N
ピューリッツァー	pulitzer	P_UH1_L_AH0_T_S_ER0
ピュリッツァー	pulitzer	P_UH1_L_AH0_T_S_ER0
ピューリッツアー	pulitzer	P_UH1_L_AH0_T_S_ER0
ピュリッツアー	pulitzer	P_UH1_L_AH0_T_S_ER0
ピュア	pure	P_Y_UH1_R
ピュアー	pure	P_Y_UH1_R
ピュアリスト	purist	P_Y_UH1_R_IH0_S_T
ピラニア	piranha	P_IH0_R_AE1_N_HH_AH0
ピラフ	pilaf	P_IY2_L_AA1_F
ピラミッド	pyramid	P_IH1_R_AH0_M_IH0_D
ピリ	period	P_IH1_R_IY0_AH0_D
ピリオディック	periodic	P_IH2_R_IY0_AA1_D_IH0_K
ピリオド	period	P_IH1_R_IY0_AH0_D
ピリング	pilling	P_IH1_L_IH0_NG
ピル	pill	P_IH1_L
ピンキー	pinky	P_IH1_NG_K_IY0
ピンク	pink	P_IH1_NG_K
ピンチ	pinch	P_IH1_N_CH
ピンホール	pinhole	P_IH1_N_HH_OW2_L
ピンポイント	pinpoint	P_IH1_N_P_OY2_N_T
フーダニット	whodunit	HH_UW0_D_AH1_N_IH0_T
フード	hood	HH_UH1_D
フープ	hoop	HH_UW1_P
ファー	fur	F_ER1
ファースト	first	F_ER1_S_T
ファスト	first	F_ER1_S_T
ファニチャー	furniture	F_ER1_N_IH0_CH_ER0
ファニチャ	furniture	F_ER1_N_IH0_CH_ER0
ファーニチャー	furniture	F_ER1_N_IH0_CH_ER0
ファニチュア	furniture	F_ER1_N_IH0_CH_ER0
ファーマシー	pharmacy	F_AA1_R_M_AH0_S_IY0
ファーム	farm	F_AA1_R_M
ファイア	fire	F_AY1_ER0
ファイアー	fire	F_AY1_ER0
ファイヤー	fire	F_AY1_ER0
ファイヤ	fire	F_AY1_ER0
ファイアプルーフ	fireproof	F_AY1_ER0_P_R_UW2_F
ファイアマン	fireman	F_AY1_R_M_AH0_N
ファイアーマン	fireman	F_AY1_R_M_AH0_N
ファイヤーマン	fireman	F_AY1_R_M_AH0_N
ファイヤマン	fireman	F_AY1_R_M_AH0_N
ファイバーガラス	fiberglass	F_AY1_B_ER0_G_L_AE2_S
ファイター	fighter	F_AY1_T_ER0
ファイト	fight	F_AY1_T
ファイナル	final	F_AY1_N_AH0_L
ファイナンス	finance	F_AH0_N_AE1_N_S
フィナンス	finance	F_AH0_N_AE1_N_S
ファイバー	fiber	F_AY1_B_ER0
ファイバ	fiber	F_AY1_B_ER0
ファイバーボード	fiberboard	F_AY1_B_ER0_B_AO2_R_D
ファイル	file	F_AY1_L
ファイルネーム	filename	F_AY1_L_N_EY2_M
ファイン	fine	F_AY1_N
ファインダー	viewfinder	V_Y_UW1_F_AY2_N_D_ER0
ファインダ	viewfinder	V_Y_UW1_F_AY2_N_D_ER0
ファウル	foul	F_AW1_L
ファール	foul	F_AW1_L
ファクシミリ	facsimile	F_AE0_K_S_IH1_M_AH0_L_IY0
ファクション	faction	F_AE1_K_SH_AH0_N
ファクター	factor	F_AE1_K_T_ER0
ファクト	fact	F_AE1_K_T
ファクトリー	factory	F_AE1_K_T_ER0_IY0
ファクトリ	factory	F_AE1_K_T_ER0_IY0
ファシスト	fascist	F_AE1_SH_IH0_S_T
ファシスタ	fascist	F_AE1_SH_IH0_S_T
ファシズム	fascism	F_AE1_SH_IH2_Z_AH0_M
ファシリティー	facility	F_AH0_S_IH1_L_IH0_T_IY0
ファシリティ	facility	F_AH0_S_IH1_L_IH0_T_IY0
ファシリテイ	facility	F_AH0_S_IH1_L_IH0_T_IY0
ファジー	fuzzy	F_AH1_Z_IY0
ファジィ	fuzzy	F_AH1_Z_IY0
ファスナー	fastener	F_AE1_S_AH0_N_ER0
ファック	fuck	F_AH1_K
ファッショナブル	fashionable	F_AE1_SH_AH0_N_AH0_B_AH0_L
ファッション	fashion	F_AE1_SH_AH0_N
ファナティシズム	fanaticism	F_AH0_N_AE1_T_AH0_S_IH2_Z_AH0_M
ファナティック	fanatic	F_AH0_N_AE1_T_IH0_K
ファニー	funny	F_AH1_N_IY0
ファブリック	fabric	F_AE1_B_R_IH0_K
ファミリー	family	F_AE1_M_AH0_L_IY0
ファミリ	family	F_AE1_M_AH0_L_IY0
ファミリア	familiar	F_AH0_M_IH1_L_Y_ER0
ファミリアー	familiar	F_AH0_M_IH1_L_Y_ER0
ファルス	farce	F_AA1_R_S
ファース	farce	F_AA1_R_S
ファン	fan	F_AE1_N
フアン	fan	F_AE1_N
ファンキー	funky	F_AH1_NG_K_IY0
ファンク	funk	F_AH1_NG_K
ファンクション	function	F_AH1_NG_K_SH_AH0_N
ファンシー	fancy	F_AE1_N_S_IY0
ファンタジー	fantasy	F_AE1_N_T_AH0_S_IY0
ファンタスティック	fantastic	F_AE0_N_T_AE1_S_T_IH0_K
ファンダメンタル	fundamental	F_AH2_N_D_AH0_M_EH1_N_T_AH0_L
ファンダメンタルズ	fundamentals	F_AH2_N_D_AH0_M_EH1_N_T_AH0_L_Z
ファンデーション	foundation	F_AW0_N_D_EY1_SH_AH0_N
ファウンデーション	foundation	F_AW0_N_D_EY1_SH_AH0_N
ファントム	phantom	F_AE1_N_T_AH0_M
ファンド	fund	F_AH1_N_D
ファンファーレ	fanfare	F_AE1_N_F_EH2_R
ファンファール	fanfare	F_AE1_N_F_EH2_R
ファンブル	fumble	F_AH1_M_B_AH0_L
フィーダ	feeder	F_IY1_D_ER0
フィーダー	feeder	F_IY1_D_ER0
フィーチャー	feature	F_IY1_CH_ER0
フィーチャ	feature	F_IY1_CH_ER0
フィーチュア	feature	F_IY1_CH_ER0
フィーディング	feeding	F_IY1_D_IH0_NG
フィート	feet	F_IY1_T
フィードバック	feedback	F_IY1_D_B_AE2_K
フィーバー	fever	F_IY1_V_ER0
フィーリング	feeling	F_IY1_L_IH0_NG
フィールディング	fielding	F_IY1_L_D_IH0_NG
フィールド	field	F_IY1_L_D
フィールドワーク	fieldwork	F_IY1_L_D_W_ER2_K
フィギュア	figure	F_IH1_G_Y_ER0
フィギア	figure	F_IH1_G_Y_ER0
フィギュラティフ	figurative	F_IH1_G_Y_ER0_AH0_T_IH0_V
フィクサー	fixer	F_IH1_K_S_ER0
フィクション	fiction	F_IH1_K_SH_AH0_N
フィクス	fix	F_IH1_K_S
フィクスト	fixed	F_IH1_K_S_T
フィジカル	physical	F_IH1_Z_IH0_K_AH0_L
フイジカル	physical	F_IH1_Z_IH0_K_AH0_L
フィックス	fixing	F_IH1_K_S_IH0_NG
フィッシュ	fish	F_IH1_SH
フィッシング	fishing	F_IH1_SH_IH0_NG
フィッティング	fitting	F_IH1_T_IH0_NG
フィット	fit	F_IH1_T
フィットネス	fitness	F_IH1_T_N_AH0_S
フィナル	finale	F_AH0_N_AE1_L_IY0
フィナーレ	finale	F_AH0_N_AE1_L_IY0
フィニッシュ	finish	F_IH1_N_IH0_SH
フィヨルド	fjord	F_Y_AO1_R_D
フィラデルフィア	philadelphia	F_IH2_L_AH0_D_EH1_L_F_IY0_AH0
フィラメント	filament	F_IH1_L_AH0_M_AH0_N_T
フィリバスター	filibuster	F_IH1_L_AH0_B_AH2_S_T_ER0
フィル	fill	F_IH1_L
フィルター	filter	F_IH1_L_T_ER0
フィルタ	filter	F_IH1_L_T_ER0
フィルタリング	filtering	F_IH1_L_T_ER0_IH0_NG
フィルム	film	F_IH1_L_M
フイルム	film	F_IH1_L_M
フィロソフィー	philosophy	F_AH0_L_AA1_S_AH0_F_IY0
フィン	fin	F_IH1_N
フィンガー	finger	F_IH1_NG_G_ER0
フィンガ	finger	F_IH1_NG_G_ER0
フィンガリング	fingering	F_IH1_NG_G_ER0_IH0_NG
フェーズ	phase	F_EY1_Z
フェイズ	phase	F_EY1_Z
フェータル	fatal	F_EY1_T_AH0_L
フェード	fade	F_EY1_D
フェア	fair	F_EH1_R
フェアー	fair	F_EH1_R
フェアウェイ	fairway	F_EH1_R_W_EY2
フェアウエー	fairway	F_EH1_R_W_EY2
フェアウェー	fairway	F_EH1_R_W_EY2
フェヤウェイ	fairway	F_EH1_R_W_EY2
フェヤウエイ	fairway	F_EH1_R_W_EY2
フェアリー	fairy	F_EH1_R_IY0
フェアリーランド	fairyland	F_EH1_R_IY0_L_AE2_N_D
フェイク	fake	F_EY1_K
フェーク	fake	F_EY1_K
フェイシャル	facial	F_EY1_SH_AH0_L
フェイス	face	F_EY1_S
フェース	face	F_EY1_S
フェイズィング	phasing	F_EY1_Z_IH0_NG
フェイダー	fader	F_EY1_D_ER0
フェイリュア	failure	F_EY1_L_Y_ER0
フェイル	fail	F_EY1_L
フェイント	feint	F_EY1_N_T
フェザー	feather	F_EH1_DH_ER0
フェザ	feather	F_EH1_DH_ER0
フェスティバル	festival	F_EH1_S_T_AH0_V_AH0_L
フェスティヴァル	festival	F_EH1_S_T_AH0_V_AH0_L
フェッチ	fetch	F_EH1_CH
フェティシズム	fetishism	F_EH1_T_IH0_SH_IH2_Z_AH0_M
フェチシズム	fetishism	F_EH1_T_IH0_SH_IH2_Z_AH0_M
フェデレーション	federation	F_EH2_D_ER0_EY1_SH_AH0_N
フェニックス	phoenix	F_IY1_N_IH0_K_S
フェノメノン	phenomenon	F_AH0_N_AA1_M_AH0_N_AA2_N
フェミニズム	feminism	F_EH1_M_IH0_N_IH2_Z_AH0_M
フェミニン	feminine	F_EH1_M_AH0_N_AH0_N
フェラチオ	fellatio	F_AH0_L_EY1_SH_IY0_OW0
フェリー	ferry	F_EH1_R_IY0
フェリーボート	ferryboat	F_EH1_R_IY0_B_OW2_T
フェルト	felt	F_EH1_L_T
フェルミウム	fermium	F_EH1_R_M_IY0_AH0_M
フェレット	ferret	F_EH1_R_AH0_T
フェローシップ	fellowship	F_EH1_L_OW0_SH_IH2_P
フェロモン	pheromone	F_EH1_R_AH0_M_OW2_N
フェンシング	fencing	F_EH1_N_S_IH0_NG
フェンス	fence	F_EH1_N_S
フェンダー	fender	F_EH1_N_D_ER0
フォーカス	focus	F_OW1_K_AH0_S
フォーク	fork	F_AO1_R_K
ホーク	fork	F_AO1_R_K
フォークリフト	forklift	F_AO1_R_K_L_IH2_F_T
フォークロア	folklore	F_OW1_K_L_AO2_R
フォージ	forge	F_AO1_R_JH
フォース	force	F_AO1_R_S
ホース	force	F_AO1_R_S
フォーチュン	fortune	F_AO1_R_CH_AH0_N
フォード	ford	F_AO1_R_D
フォーマッティング	formatting	F_AO1_R_M_AE2_T_IH0_NG
フォーマット	format	F_AO1_R_M_AE2_T
フォーマル	formal	F_AO1_R_M_AH0_L
フォーム	foam	F_OW1_M
フォーメーション	formation	F_AO0_R_M_EY1_SH_AH0_N
フォーラム	forum	F_AO1_R_AH0_M
フォール	fall	F_AO1_L
フォールト	fault	F_AO1_L_T
フォルト	fault	F_AO1_L_T
フォア	four	F_AO1_R
フォー	four	F_AO1_R
フォアグラウンド	foreground	F_AO1_R_G_R_AW2_N_D
フォアハンド	forehand	F_AO1_R_HH_AE2_N_D
フォアマン	foreman	F_AO1_R_M_AH0_N
フォグ	fog	F_AA1_G
フォックストロット	foxtrot	F_AA1_K_S_T_R_AA0_T
フォト	photo	F_OW1_T_OW2
フォトグラフ	photograph	F_OW1_T_AH0_G_R_AE2_F
フォトグラファー	photographer	F_AH0_T_AA1_G_R_AH0_F_ER0
フォトグラフィー	photography	F_AH0_T_AA1_G_R_AH0_F_IY0
フォトグラフィ	photography	F_AH0_T_AA1_G_R_AH0_F_IY0
フォトジェニック	photogenic	F_OW2_T_AH0_JH_EH1_N_IH0_K
フォノグラフ	phonograph	F_OW1_N_AH0_G_R_AE2_F
フォルダ	folder	F_OW1_L_D_ER0
フォルダー	folder	F_OW1_L_D_ER0
フォルテ	forte	F_AO1_R_T_EY0
フォルマリズム	formalism	F_AO1_R_M_AH0_L_IH2_Z_AH0_M
フォロー	follow	F_AA1_L_OW0
フォロウ	follow	F_AA1_L_OW0
フォワーディング	forwarding	F_AO1_R_W_ER0_D_IH0_NG
フォワード	forward	F_AO1_R_W_ER0_D
フォンデュー	fondue	F_AA0_N_D_Y_UW1
フォンデュ	fondue	F_AA0_N_D_Y_UW1
フォント	font	F_AA1_N_T
フッカー	hooker	HH_UH1_K_ER0
フック	hook	HH_UH1_K
フットボール	football	F_UH1_T_B_AO2_L
フットライト	footlights	F_UH1_T_L_AY2_T_S
フットワーク	footwork	F_UH1_T_W_ER2_K
フュージョン	fusion	F_Y_UW1_ZH_AH0_N
ヒュージョン	fusion	F_Y_UW1_ZH_AH0_N
フューチャー	future	F_Y_UW1_CH_ER0
フライト	flight	F_L_AY1_T
フライホイール	flywheel	F_L_AY1_W_IY2_L
フライホイイル	flywheel	F_L_AY1_W_IY2_L
フライング	flying	F_L_AY1_IH0_NG
フラウンス	flounce	F_L_AW1_N_S
フラクション	cell	S_EH1_L
フラクタル	fractal	F_R_AE1_K_T_AH0_L
フラグ	flag	F_L_AE1_G
フラグメンテーション	fragmentation	F_R_AE2_G_M_AH0_N_T_EY1_SH_AH0_N
フラグメント	fragment	F_R_AE1_G_M_AH0_N_T
フラストレーション	frustration	F_R_AH0_S_T_R_EY1_SH_AH0_N
フラッグ	flag	F_L_AE1_G
フラッシュ	flash	F_L_AE1_SH
フラッシュバック	flashback	F_L_AE1_SH_B_AE2_K
フラッシュライト	flashlight	F_L_AE1_SH_L_AY2_T
フラット	flat	F_L_AE1_T
フラッパー	flapper	F_L_AE1_P_ER0
フラップ	flap	F_L_AE1_P
フラメンコ	flamenco	F_L_AH0_M_EH1_NG_K_OW2
フラン	franc	F_R_AE1_NG_K
フランク	frank	F_R_AE1_NG_K
フランクフルター	frankfurter	F_R_AE1_NG_K_F_ER0_T_ER0
フランクフルト	frankfurt	F_R_AE1_NG_K_F_ER0_T
フランチャイズ	franchise	F_R_AE1_N_CH_AY2_Z
フランネル	flannel	F_L_AE1_N_AH0_L
フラノ	flannel	F_L_AE1_N_AH0_L
フリー	free	F_R_IY1
フリーウェイ	freeway	F_R_IY1_W_EY2
フリーウェー	freeway	F_R_IY1_W_EY2
フリーウエー	freeway	F_R_IY1_W_EY2
フリーウェア	freeware	F_R_IY1_W_EH2_R
フリーウエア	freeware	F_R_IY1_W_EH2_R
フリーク	freak	F_R_IY1_K
フリーザー	freezer	F_R_IY1_Z_ER0
フリースタイル	freestyle	F_R_IY1_S_T_AY2_L
フリーズ	freezing	F_R_IY1_Z_IH0_NG
フリーダム	freedom	F_R_IY1_D_AH0_M
フリーランサー	freelancer	F_R_IY1_L_AE2_N_S_ER0
フリーランス	freelance	F_R_IY1_L_AE2_N_S
フリクション	friction	F_R_IH1_K_SH_AH0_N
フリゲート	frigate	F_R_IH1_G_AH0_T
フリスビー	frisbee	F_R_IH1_S_B_IY0
フリル	frill	F_R_IH1_L
フリンジ	fringe	F_R_IH1_N_JH
フル	full	F_UH1_L
フルーツ	fruit	F_R_UW1_T
フルーツケーキ	fruitcake	F_R_UW1_T_K_EY2_K
フルート	flute	F_L_UW1_T
フリュート	flute	F_L_UW1_T
フルバック	fullback	F_UH1_L_B_AE2_K
フレー	hurray	HH_AH0_R_EY1
フレーク	flake	F_L_EY1_K
フレーバー	flavor	F_L_EY1_V_ER0
フレイバー	flavor	F_L_EY1_V_ER0
フレーヴァー	flavor	F_L_EY1_V_ER0
フレイヴァー	flavor	F_L_EY1_V_ER0
フレーバ	flavor	F_L_EY1_V_ER0
フレイヴァ	flavor	F_L_EY1_V_ER0
フレイバ	flavor	F_L_EY1_V_ER0
フレーヴァ	flavor	F_L_EY1_V_ER0
フレーマ	framer	F_R_EY1_M_ER0
フレーム	frame	F_R_EY1_M
フレームワーク	framework	F_R_EY1_M_W_ER2_K
フレア	flare	F_L_EH1_R
フレアー	flare	F_L_EH1_R
フレイジング	phrasing	F_R_EY1_Z_IH0_NG
フレキシビリティ	flexibility	F_L_EH2_K_S_AH0_B_IH1_L_AH0_T_IY0
フレキシビリティー	flexibility	F_L_EH2_K_S_AH0_B_IH1_L_AH0_T_IY0
フレクシビリティ	flexibility	F_L_EH2_K_S_AH0_B_IH1_L_AH0_T_IY0
フレクシビリティー	flexibility	F_L_EH2_K_S_AH0_B_IH1_L_AH0_T_IY0
フレキシブル	flexible	F_L_EH1_K_S_AH0_B_AH0_L
フレッシュ	fresh	F_R_EH1_SH
フレット	fret	F_R_EH1_T
フレンズ	friends	F_R_EH1_N_D_Z
フレンチ	french	F_R_EH1_N_CH
フレンド	friend	F_R_EH1_N_D
フレンドシップ	friendship	F_R_EH1_N_D_SH_IH0_P
フレンドリー	friendly	F_R_EH1_N_D_L_IY0
フレンドリ	friendly	F_R_EH1_N_D_L_IY0
フロー	flow	F_L_OW1
フローチャート	flowchart	F_L_OW1_CH_AA2_R_T
フローティング	floating	F_L_OW1_T_IH0_NG
フロート	float	F_L_OW1_T
フローラ	flora	F_L_AO1_R_AH0
フロラ	flora	F_L_AO1_R_AH0
フロア	floor	F_L_AO1_R
フロアー	floor	F_L_AO1_R
フロアリング	flooring	F_L_AO1_R_IH0_NG
フロスト	frost	F_R_AO1_S_T
フロック	fluke	F_L_UW1_K
フロッグマン	frogman	F_R_AA1_G_M_AE2_N
フロッピー	floppy	F_L_AA1_P_IY0
フロッピ	floppy	F_L_AA1_P_IY0
フロッピィ	floppy	F_L_AA1_P_IY0
フローリスト	florist	F_L_AA1_R_IH0_S_T
フロリスト	florist	F_L_AA1_R_IH0_S_T
フロリダ	florida	F_L_AO1_R_AH0_D_AH0
フロン	fluorocarbon	F_L_UH2_R_OW0_K_AA1_R_B_AH0_N
フロンティア	frontier	F_R_AH0_N_T_IH1_R
フロント	front	F_R_AH1_N_T
ブーイング	booing	B_UW1_IH0_NG
ブーケ	bouquet	B_UW0_K_EY1
ブース	booth	B_UW1_TH
ブースター	booster	B_UW1_S_T_ER0
ブースタ	booster	B_UW1_S_T_ER0
ブーツ	boots	B_UW1_T_S
ブート	boot	B_UW1_T
ブーム	boom	B_UW1_M
ブーメラン	boomerang	B_UW1_M_ER0_AE2_NG
ブーリアン	boolean	B_UW0_L_IY1_AH0_N
ブール	boule	B_UW1_L
ボーア	boule	B_UW1_L
ブールバード	boulevard	B_UH1_L_AH0_V_AA2_R_D
ブールバール	boulevard	B_UH1_L_AH0_V_AA2_R_D
ブールヴァール	boulevard	B_UH1_L_AH0_V_AA2_R_D
ブイ	buoy	B_UW1_IY0
ブイヨン	bouillon	B_UW2_W_IH1_L_AH0_N
ブギー	boogie	B_UW1_G_IY0
ブザー	buzzer	B_AH1_Z_ER0
ブタン	butane	B_Y_UW0_T_EY1_N
ブッカー	booker	B_UH1_K_ER0
ブッキー	bookie	B_UH1_K_IY0
ブッキッシュ	bookish	B_UH1_K_IH0_SH
ブッキング	booking	B_UH1_K_IH0_NG
ブック	book	B_UH1_K
ブックエンド	bookend	B_UH1_K_EH2_N_D
ブックメーカー	bookmaker	B_UH1_K_M_EY0_K_ER0
ブックレット	booklet	B_UH1_K_L_IH0_T
ブッシュ	bush	B_UH1_SH
ブッシュマン	bushman	B_UH1_SH_M_AH0_N
ブティック	boutique	B_UW0_T_IY1_K
ブライダル	bridal	B_R_AY1_D_AH0_L
ブライヤー	brier	B_R_AY1_ER0
ブライアー	brier	B_R_AY1_ER0
ブラウザ	browser	B_R_AW1_Z_ER0
ブラウザー	browser	B_R_AW1_Z_ER0
ブラウジング	browsing	B_R_AW1_Z_IH0_NG
ブラウス	blouse	B_L_AW1_S
ブルーズ	blouse	B_L_AW1_S
ブラウズ	browse	B_R_AW1_Z
ブラウン	brown	B_R_AW1_N
ブラケット	bracket	B_R_AE1_K_IH0_T
ブラザーズ	brothers	B_R_AH1_DH_ER0_Z
ブラジャー	bra	B_R_AA1
ブラス	brass	B_R_AE1_S
