アードバーク	aardvark	AA1_R_D_V_AA2_R_K
コーシェ	kosher	K_OW1_SH_ER0
コーシェル	kosher	K_OW1_SH_ER0
コーシャ	kosher	K_OW1_SH_ER0
コーシャー	kosher	K_OW1_SH_ER0
コシェル	kosher	K_OW1_SH_ER0
コシャ	kosher	K_OW1_SH_ER0
コソヴォ	kosovo	K_OW1_S_OW0_V_OW2
コソボ	kosovo	K_OW1_S_OW0_V_OW2
クリル	krill	K_R_IH1_L
クリシュナ	krishna	K_R_IH1_SH_N_AH0
クローナ	krona	K_R_OW1_N_AH0
クローネ	krone	K_R_OW1_N_AH0
クルーガーランド	krugerrand	K_R_UW0_G_EH1_R_AE0_N_D
クルップ	krupp	K_R_AH1_P
クリプトン	krypton	K_R_IH1_P_T_AO0_N
クーナ	kuna	K_Y_UW1_N_AH0
クルド	kurd	K_ER1_D
キルク	kurk	K_ER1_K
コルク	kurk	K_ER1_K
クワンザ	kwanzaa	K_W_AA1_N_Z_AH0
キルギスタン	kyrgyzstan	K_IH1_R_G_IH0_S_T_AE2_N
ラ	la	L_AA1
ラボ	lab	L_AE1_B
ラベル	label	L_EY1_B_AH0_L
レーベル	label	L_EY1_B_AH0_L
ラベリング	labeling	L_EY1_B_AH0_L_IH0_NG
レイバー	labor	L_EY1_B_ER0
ラボラトリーズ	laboratories	L_AE1_B_R_AH0_T_AO2_R_IY0_Z
ラボラトリ	laboratory	L_AE1_B_R_AH0_T_AO2_R_IY0
ラボラトリー	laboratory	L_AE1_B_R_AH0_T_AO2_R_IY0
ラブラドール	labrador	L_AE1_B_R_AH0_D_AO2_R
ラブラドル	labrador	L_AE1_B_R_AH0_D_AO2_R
ラビリンス	labyrinth	L_AE1_B_ER0_IH2_N_TH
レース	lace	L_EY1_S
ラッカー	lacquer	L_AE1_K_ER0
ラクロス	lacrosse	L_AH0_K_R_AO1_S
ラクターゼ	lactase	L_AE1_K_T_EY2_S
ラクトン	lactone	L_AE1_K_T_OW0_N
ラクトース	lactose	L_AE1_K_T_OW0_S
レーシー	lacy	L_EY1_S_IY0
レーディース	ladies'	L_EY1_D_IY2_Z
レーディス	ladies'	L_EY1_D_IY2_Z
レディース	ladies'	L_EY1_D_IY2_Z
レディーズ	ladies'	L_EY1_D_IY2_Z
レディス	ladies'	L_EY1_D_IY2_Z
レディズ	ladies'	L_EY1_D_IY2_Z
レードル	ladle	L_EY1_D_AH0_L
レディ	lady	L_EY1_D_IY0
レディー	lady	L_EY1_D_IY0
ラーゲ	lage	L_EY1_JH
ラガー	lager	L_AA1_G_ER0
ラグーン	lagoon	L_AH0_G_UW1_N
レーク	lake	L_EY1_K
レイク	lake	L_EY1_K
レークサイド	lakeside	L_EY1_K_S_AY2_D
レイクサイド	lakeside	L_EY1_K_S_AY2_D
ラム	lamb	L_AE1_M
ラムダロケット	lambda|rocket	L_AE1_M_D_AH0|R_AA1_K_AH0_T
ラムズイヤー	lamb's|ear	L_AE1_M_Z|IY1_R
ラミネート	laminate	L_AE1_M_AH0_N_EY2_T
ラミネートスキー	laminate|ski	L_AE1_M_AH0_N_EY2_T|S_K_IY1
ランプ	lamp	L_AE1_M_P
ランプーン	lampoon	L_AE0_M_P_UW1_N
ラナイ	lanai	L_AH0_N_AY1
ランス	lance	L_AE1_N_S
ランサー	lancer	L_AE1_N_S_ER0
ランセット	lancet	L_AE1_N_S_AH0_T
ランド	land	L_AE1_N_D
ランディング	landing	L_AE1_N_D_IH0_NG
ランドマーク	landmark	L_AE1_N_D_M_AA2_R_K
ランドサット	landsat	L_AE1_N_D_S_AE1_T
ランドスケープ	landscape	L_AE1_N_D_S_K_EY2_P
レーン	lane	L_EY1_N
レイン	lane	L_EY1_N
ランゲージ	language	L_AE1_NG_G_W_AH0_JH
ランタナ	lantana	L_AE0_N_T_AE1_N_AH0
ラップ	lap	L_AE1_P
ラパロスコピ	laparoscopy	L_AE2_P_ER0_AA1_S_K_AH0_P_IY0
ラパロスコピー	laparoscopy	L_AE2_P_ER0_AA1_S_K_AH0_P_IY0
ラプス	lapse	L_AE1_P_S
ラップトップ	laptop	L_AE1_P_T_AA2_P
ラード	lard	L_AA1_R_D
ラージ	large	L_AA1_R_JH
ラルゴ	largo	L_AA1_R_G_OW0
ラリアート	lariat	L_EH1_R_IY0_AH0_T
ラリアット	lariat	L_EH1_R_IY0_AH0_T
ラーク	lark	L_AA1_R_K
ラザーニェ	lasagna	L_AA0_S_AA1_N_Y_AH0
ラザーニャ	lasagna	L_AA0_S_AA1_N_Y_AH0
ラザニア	lasagna	L_AA0_S_AA1_N_Y_AH0
ラザニエ	lasagna	L_AA0_S_AA1_N_Y_AH0
ラサニヤ	lasagna	L_AA0_S_AA1_N_Y_AH0
レーザ	laser	L_EY1_Z_ER0
レーザー	laser	L_EY1_Z_ER0
レーザーダイオード	laser|diode	L_EY1_Z_ER0|D_AY1_OW2_D
ラスト	last	L_AE1_S_T
ラストボス	last|boss	L_AE1_S_T|B_AA1_S
ラッチ	latch	L_AE1_CH
レイテンシ	latency	L_EY1_T_AH0_N_S_IY0
レイテンシー	latency	L_EY1_T_AH0_N_S_IY0
ラテックス	latex	L_EY1_T_EH2_K_S
ラス	lath	L_AE1_TH
レース	lathe	L_EY1_DH
ラチチュード	latitude	L_AE1_T_AH0_T_UW2_D
ラチス	lattice	L_AE1_T_AH0_S
ラティス	lattice	L_AE1_T_AH0_S
ラトヴィア	latvia	L_AE1_T_V_IY0_AH0
ラトビア	latvia	L_AE1_T_V_IY0_AH0
ラーンチ	launch	L_AO1_N_CH
ラウンチ	launch	L_AO1_N_CH
ランチ	launch	L_AO1_N_CH
ローンチ	launch	L_AO1_N_CH
ロンチ	launch	L_AO1_N_CH
ラーンチャ	launcher	L_AO1_N_CH_ER0
ランチャー	launcher	L_AO1_N_CH_ER0
ローンダリング	laundering	L_AO1_N_D_ER0_IH0_NG
ロンダリング	laundering	L_AO1_N_D_ER0_IH0_NG
ローンドロマット	laundromat	L_AO1_N_D_R_AH0_M_AE2_T
ランドリー	laundry	L_AO1_N_D_R_IY0
ローンドゥリー	laundry	L_AO1_N_D_R_IY0
ローレル	laurel	L_AO1_R_AH0_L
ラーバ	lava	L_AA1_V_AH0
ラバ	lava	L_AA1_V_AH0
ラバトリー	lavatory	L_AE1_V_AH0_T_AO2_R_IY0
ラベンダー	lavender	L_AE1_V_AH0_N_D_ER0
ラビー	lavie	L_EY1_V_IY0
ロー	law	L_AO1
ローレンシウム	lawrencium	L_AO0_R_EH1_N_S_IY0_AH0_M
レイアップ	lay|up	L_EY1|AH1_P
レイヤ	layer	L_EY1_ER0
レイヤー	layer	L_EY1_ER0
レヤーケーキ	layer|cake	L_EY1_ER0|K_EY1_K
レイヤード	layered	L_EY1_ER0_D
レイマン	layman	L_EY1_M_AH0_N
レイオフ	layoff	L_EY1_AO2_F
レイアウト	layout	L_EY1_AW2_T
レイアウトシステム	layout|system	L_EY1_AW2_T|S_IH1_S_T_AH0_M
リードイン	lead|in	L_EH1_D|IH0_N
リードアウト	lead|out	L_EH1_D|AW1_T
リーダ	leader	L_IY1_D_ER0
リーダー	leader	L_IY1_D_ER0
リーダーシップ	leadership	L_IY1_D_ER0_SH_IH2_P
レディング	leading	L_IY1_D_IH0_NG
リーズアンドラッグズ	leads|and|lags	L_IY1_D_Z|AH0_N_D|L_AE1_G_Z
リーフレット	leaflet	L_IY1_F_L_AH0_T
リーグ	league	L_IY1_G
リーガー	leaguer	L_IY1_G_ER0
リーク	leak	L_IY1_K
リーケージ	leakage	L_IY1_K_AH0_JH
リーキー	leaky	L_IY1_K_IY0
リーンバーン	lean|burn	L_IY1_N|B_ER1_N
ラーニング	learning	L_ER1_N_IH0_NG
リース	lease	L_IY1_S
リーシュ	leash	L_IY1_SH
レーザー	leather	L_EH1_DH_ER0
レザー	leather	L_EH1_DH_ER0
リーブ	leave	L_IY1_V
リービング	leaving	L_IY1_V_IH0_NG
レシチン	lecithin	L_EH1_S_AH0_TH_AH0_N
レクチャ	lecture	L_EH1_K_CH_ER0
レクチャー	lecture	L_EH1_K_CH_ER0
レクチャラー	lecturer	L_EH1_K_CH_ER0_ER0
リーチ	leech	L_IY1_CH
リーキ	leek	L_IY1_K
レフト	left	L_EH1_F_T
レフティ	lefty	L_EH1_F_T_IY0
レフティー	lefty	L_EH1_F_T_IY0
レグ	leg	L_EH1_G
レッグ	leg	L_EH1_G
レッグガース	leg|guards	L_EH1_G|G_AA1_R_D_Z
レッグガーズ	leg|guards	L_EH1_G|G_AA1_R_D_Z
レガシ	legacy	L_EH1_G_AH0_S_IY0
レガシー	legacy	L_EH1_G_AH0_S_IY0
リーガル	legal	L_IY1_G_AH0_L
レガート	legato	L_AH0_G_AA1_T_OW2
レジェンド	legend	L_EH1_JH_AH0_N_D
レギンス	leggings	L_EH1_G_IH0_NG_Z
レグホーン	leghorn	L_EH1_G_HH_AO0_R_N
レグホン	leghorn	L_EH1_G_HH_AO0_R_N
レギオン	legion	L_IY1_JH_AH0_N
レジティマシー	legitimacy	L_AH0_JH_IH1_T_AH0_M_AH0_S_IY0
レイ	lei	L_EY1
レジャー	leisure	L_EH1_ZH_ER0
ラッタル	leiter	L_AY1_T_ER0
ライトモチーフ	leitmotif	L_AY1_T_M_OW0_T_IY2_F
レック	lek	L_EH1_K
レンベルガー	lemberger	L_EH1_M_B_ER0_G_ER0
レンマ	lemma	L_EH1_M_AH0
レミング	lemming	L_EH1_M_IH0_NG
レモンスカッシュ	lemon|squash	L_EH1_M_AH0_N|S_K_W_AA1_SH
レモネード	lemonade	L_EH1_M_AH0_N_EY1_D
レングス	length	L_EH1_NG_K_TH
レーニン	lenin	L_EH1_N_AH0_N
レーニニズム	leninism	L_EH1_N_IH0_N_IH2_Z_AH0_M
レンズ	lens	L_EH1_N_Z
レンチル	lentil	L_EH1_N_T_AH0_L
レント	lento	L_EH1_N_T_OW0
リーオウ	leo	L_IY1_OW0
レオ	leo	L_IY1_OW0
レオパード	leopard	L_EH1_P_ER0_D
レオタード	leotard	L_IY1_AH0_T_AA2_R_D
レスビアン	lesbian	L_EH1_Z_B_IY0_AH0_N
レズビアン	lesbian	L_EH1_Z_B_IY0_AH0_N
レズビアニズム	lesbianism	L_EH1_Z_B_IY0_AH0_N_IH0_Z_M
レソト	lesotho	L_EH0_S_OW1_TH_OW0
レッスン	lesson	L_EH1_S_AH0_N
レット	let	L_EH1_T
レッツ	let's	L_EH1_T_S
レッツラゴー	let's|go	L_EH1_T_S|G_OW1
レター	letter	L_EH1_T_ER0
レッテル	letter	L_EH1_T_ER0
レターファックス	letter|fax	L_EH1_T_ER0|F_AE1_K_S
レタリング	lettering	L_EH1_T_ER0_IH0_NG
レタス	lettuce	L_EH1_T_AH0_S
レウ	leu	L_UW1
レビ	levee	L_EH1_V_IY0
レヴェル	level	L_EH1_V_AH0_L
レベル	level	L_EH1_V_AH0_L
レベルオフ	level|off	L_EH1_V_AH0_L|AO1_F
レベリング	leveling	L_EH1_V_AH0_L_IH0_NG
レバー	lever	L_EH1_V_ER0
レバレッジ	leverage	L_EH1_V_ER0_IH0_JH
レヴィアタン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
レビヤタン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
リヴァイアサン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
リバイアサン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
リーバイス	levi's	L_IY1_V_AY0_Z
レキシカル	lexical	L_EH1_K_S_IH0_K_AH0_L
レキシコグラファー	lexicographer	L_EH2_K_S_IH0_K_AA1_G_R_AH0_F_ER0
レキシコン	lexicon	L_EH1_K_S_IH0_K_AA2_N
ラサ	lhasa	L_AA1_S_AH0
ライアビリティー	liability	L_AY2_AH0_B_IH1_L_IH0_T_IY0
リエゾン	liaison	L_IY0_EY1_Z_AA2_N
ライアー	liar	L_AY1_ER0
リベラル	liberal	L_IH1_B_ER2_AH0_L
リベラリズム	liberalism	L_IH1_B_ER2_AH0_L_IH2_Z_AH0_M
リバタリアン	libertarian	L_IH2_B_ER2_T_EH1_R_IY2_AH0_N
リバティー	liberty	L_IH1_B_ER0_T_IY2
リビドー	libido	L_AH0_B_AY1_D_OW2
ライブラリアン	librarian	L_AY0_B_R_EH1_R_IY2_AH0_N
ライブラリ	library	L_AY1_B_R_EH0_R_IY2
ライブラリー	library	L_AY1_B_R_EH0_R_IY2
リブレット	libretto	L_IH0_B_R_EH1_T_OW2
ライセンス	license	L_AY1_S_AH0_N_S
ライセンシー	licensee	L_AY2_S_AH0_N_S_IY1
ライセンサ	licenser	L_AY1_S_AH0_N_S_ER0
ライセンサー	licenser	L_AY1_S_AH0_N_S_ER0
ライセンシング	licensing	L_AY1_S_AH0_N_S_IH0_NG
リック	lick	L_IH1_K
リコリス	licorice	L_IH1_K_ER0_IH0_SH
ライ	lie	L_AY1
リーベ	liebe	L_IY1_B
リヒテンシュタイン	liechtenstein	L_IH1_K_T_AH0_N_S_T_AY2_N
リート	lied	L_AY1_D
リード	lied	L_AY1_D
ライフ	life	L_AY1_F
ライフセービング	life|saving	L_AY1_F|S_EY1_V_IH0_NG
ライフサービス	life|service	L_AY1_F|S_ER1_V_AH0_S
ライフサイズ	life|size	L_AY1_F|S_AY1_Z
ライフボート	lifeboat	L_AY1_F_B_OW2_T
ライフライン	lifeline	L_AY1_F_L_AY2_N
ライフセーバー	lifesaver	L_AY1_F_S_EY2_V_ER0
ライフスタイル	lifestyle	L_AY1_F_S_T_AY2_L
ライフタイム	lifetime	L_AY1_F_T_AY2_M
リーフォー	lifo	L_IY1_F_OW0
リフト	lift	L_IH1_F_T
リフトアップ	lift|up	L_IH1_F_T|AH1_P
リフティング	lifting	L_IH1_F_T_IH0_NG
リガンド	ligand	L_IH1_G_AH0_N_D
ライト	light	L_AY1_T
ライトボタン	light|button	L_AY1_T|B_AH1_T_AH0_N
ライトノベル	light|novel	L_AY1_T|N_AA1_V_AH0_L
ライトツナフレーク	light|tuna|flake	L_AY1_T|T_UW1_N_AH0|F_L_EY1_K
ライタ	lighter	L_AY1_T_ER0
ライター	lighter	L_AY1_T_ER0
ライトハウス	lighthouse	L_AY1_T_HH_AW2_S
ライティング	lighting	L_AY1_T_IH0_NG
ライトニング	lightning	L_AY1_T_N_IH0_NG
ライトウエート	lightweight	L_AY1_T_W_EY1_T
リグニン	lignin	L_IH1_G_N_IH0_N
ライク	like	L_AY1_K
リクード	likud	L_IH1_K_AH0_D
ライラック	lilac	L_AY1_L_AE2_K
リリー	lily	L_IH1_L_IY0
リリアン	lily|yarn	L_IH1_L_IY0|Y_AA1_R_N
リリヤン	lily|yarn	L_IH1_L_IY0|Y_AA1_R_N
リマ	lima	L_AY1_M_AH0
リンボー	limbo	L_IH1_M_B_OW0
ライムライト	limelight	L_AY1_M_L_AY2_T
リメリック	limerick	L_IH1_M_ER0_IH0_K
リミット	limit	L_IH1_M_AH0_T
リミットサイクル	limit|cycle	L_IH1_M_AH0_T|S_AY1_K_AH0_L
リミテーション	limitation	L_IH2_M_IH0_T_EY1_SH_AH0_N
リミティッド	limited	L_IH1_M_AH0_T_AH0_D
リミテッド	limited	L_IH1_M_AH0_T_AH0_D
リムジーン	limousine	L_IH1_M_AH0_Z_IY2_N
リムジン	limousine	L_IH1_M_AH0_Z_IY2_N
リンデン	linden	L_IH1_N_D_AH0_N
リンデンバウム	lindenbaum	L_AY1_N_D_AH0_N_B_AW0_M
リンディホップ	lindy|hop	L_IH1_N_D_IY0|HH_AA1_P
ライン	line	L_AY1_N
ラインフィード	line|feed	L_AY1_N|F_IY1_D
ライナップ	line|up	L_AY1_N|AH1_P
ラインアップ	line|up	L_AY1_N|AH1_P
ラインナップ	line|up	L_AY1_N|AH1_P
リネージ	lineage	L_IH1_N_IY0_AH0_JH
リニア	linear	L_IH1_N_IY0_ER0
ラインバッカー	linebacker	L_AY1_N_B_AE2_K_ER0
ラインマン	lineman	L_AY1_N_M_AH0_N
ラインメン	linemen	L_AY1_N_M_AH0_N
リネン	linen	L_IH1_N_AH0_N
ライナー	liner	L_AY1_N_ER0
ランジェリー	lingerie	L_AA1_N_ZH_ER0_EY2
リングィーネ	linguine	L_IH0_NG_G_W_IY1_N_IY0
リングイーネ	linguine	L_IH0_NG_G_W_IY1_N_IY0
リングイネ	linguine	L_IH0_NG_G_W_IY1_N_IY0
ライニング	lining	L_AY1_N_IH0_NG
リンク	link	L_IH1_NG_K
リンケージ	linkage	L_IH1_NG_K_AH0_JH
リンクトマルチセッション	linked|multi|session	L_IH1_NG_K_T|M_AH1_L_T_IY0|S_EH1_SH_AH0_N
リンカ	linker	L_IH1_NG_K_ER0
リンカー	linker	L_IH1_NG_K_ER0
リンクス	links	L_IH1_NG_K_S
リノリウム	linoleum	L_AH0_N_OW1_L_IY0_AH0_M
ライノタイプ	linotype	L_IH1_N_OW0_T_AY2_P
リント	lint	L_IH1_N_T
ライナックス	linux	L_IH1_N_AH0_K_S
リナックス	linux	L_IH1_N_AH0_K_S
リニクス	linux	L_IH1_N_AH0_K_S
リヌクス	linux	L_IH1_N_AH0_K_S
リヌックス	linux	L_IH1_N_AH0_K_S
ライオン	lion	L_AY1_AH0_N
リップ	lip	L_IH1_P
リピド	lipid	L_AY1_P_AH0_D
リポソーム	liposome	L_IH1_P_AH0_S_OW2_M
リップスティック	lipstick	L_IH1_P_S_T_IH2_K
リキュール	liqueur	L_IH0_K_ER1
リキッド	liquid	L_IH1_K_W_AH0_D
リカー	liquor	L_IH1_K_ER0
リラ	lira	L_IH1_R_AH0
リスボア	lisbon	L_IH1_Z_B_AH0_N
リスボン	lisbon	L_IH1_Z_B_AH0_N
リスト	list	L_IH1_S_T
リストプローカー	list|broker	L_IH1_S_T|B_R_OW1_K_ER0
リッスン	listen	L_IH1_S_AH0_N
リスナ	listener	L_IH1_S_AH0_N_ER0
リスナー	listener	L_IH1_S_AH0_N_ER0
リスニング	listening	L_IH1_S_AH0_N_IH0_NG
リスティング	listing	L_IH1_S_T_IH0_NG
リタラシー	literacy	L_IH1_T_ER0_AH0_S_IY0
リテラシ	literacy	L_IH1_T_ER0_AH0_S_IY0
リテラシー	literacy	L_IH1_T_ER0_AH0_S_IY0
リテラル	literal	L_IH1_T_ER0_AH0_L
リテラチャー	literature	L_IH1_T_ER0_AH0_CH_ER0
リテラチュア	literature	L_IH1_T_ER0_AH0_CH_ER0
リチウム	lithium	L_IH1_TH_IY0_AH0_M
リトグラフ	lithograph	L_IH1_TH_AH0_G_R_AE2_F
リソグラフィ	lithography	L_AH0_TH_AA1_G_R_AH0_F_IY0
リソグラフィー	lithography	L_AH0_TH_AA1_G_R_AH0_F_IY0
リトグラフィ	lithography	L_AH0_TH_AA1_G_R_AH0_F_IY0
リトグラフィー	lithography	L_AH0_TH_AA1_G_R_AH0_F_IY0
リトアニア	lithuania	L_IH2_TH_AH0_W_EY1_N_IY0_AH0
リトマス	litmus	L_IH1_T_M_AH0_S
リトル	little	L_IH1_T_AH0_L
ライヴ	live	L_AY1_V
ライブ	live	L_AY1_V
リバー	liver	L_IH1_V_ER0
リバリー	livery	L_IH1_V_ER0_IY0
リビング	living	L_IH1_V_IH0_NG
リザード	lizard	L_IH1_Z_ER0_D
リュブリャーナ	ljubljana	L_Y_UW1_B_L_Y_AA0_N_AH0
リュブリャナ	ljubljana	L_Y_UW1_B_L_Y_AA0_N_AH0
ラマ	llama	L_AA1_M_AH0
リャマ	llama	L_AA1_M_AH0
ローファイ	lo|fi	L_OW1|F_AY1
ロードセットピリオド	load|set|period	L_OW1_D|S_EH1_T|P_IH1_R_IY0_AH0_D
ローダ	loader	L_OW1_D_ER0
ローダー	loader	L_OW1_D_ER0
ローディング	loading	L_OW1_D_IH0_NG
ローファ	loafers	L_OW1_F_ER0_Z
ローファー	loafers	L_OW1_F_ER0_Z
ローファーズ	loafers	L_OW1_F_ER0_Z
ローム	loam	L_OW1_M
ローン	loan	L_OW1_N
ロブ	lob	L_AA1_B
ロビング	lobbing	L_AA1_B_IH0_NG
ロビー	lobby	L_AA1_B_IY0
ロビーイング	lobbying	L_AA1_B_IY0_IH0_NG
ロビイング	lobbying	L_AA1_B_IY0_IH0_NG
ロビイスト	lobbyist	L_AA1_B_IY0_AH0_S_T
ロボトミー	lobotomy	L_OW1_B_OW2_T_OW2_M_IY0
ロブスタ	lobster	L_AA1_B_S_T_ER0
ロブスター	lobster	L_AA1_B_S_T_ER0
ローカル	local	L_OW1_K_AH0_L
ロカール	locale	L_OW0_K_AE1_L
ロケール	locale	L_OW0_K_AE1_L
ローカライズ	localization	L_OW2_K_AH0_L_AH0_Z_EY1_SH_AH0_N
ローカライゼーション	localization	L_OW2_K_AH0_L_AH0_Z_EY1_SH_AH0_N
ローカリゼーション	localization	L_OW2_K_AH0_L_AH0_Z_EY1_SH_AH0_N
ロケート	locate	L_OW1_K_EY2_T
ロケーション	location	L_OW0_K_EY1_SH_AH0_N
ロケーションハンティング	location|hunting	L_OW0_K_EY1_SH_AH0_N|HH_AH1_N_T_IH0_NG
ロケータ	locator	L_OW1_K_EY2_T_ER0
ロケーター	locator	L_OW1_K_EY2_T_ER0
ロック	lock	L_AA1_K
ロックファイル	lock|file	L_AA1_K|F_AY1_L
ロックダウン	lockdown	L_AA1_K_D_AW2_N
ロッカー	locker	L_AA1_K_ER0
ロックアウト	lockout	L_AA1_K_AW2_T
ロコ	loco	L_OW1_K_OW0
ロコモーション	locomotion	L_OW2_K_AH0_M_OW1_SH_AH0_N
ロコモーティブ	locomotive	L_OW2_K_AH0_M_OW1_T_IH0_V
ロコモティブ	locomotive	L_OW2_K_AH0_M_OW1_T_IH0_V
ロッジ	lodge	L_AA1_JH
ロッジング	lodging	L_AA1_JH_IH0_NG
ロフト	loft	L_AO1_F_T
ログ	log	L_AO1_G
ログハウス	log|house	L_AO1_G|HH_AW1_S
ロガリズム	logarithm	L_AA1_G_ER0_IH2_DH_AH0_M
ロガー	logger	L_AA1_G_ER0
ロッジア	loggia	L_AA1_G_IY0_AH0
ロジック	logic	L_AA1_JH_IH0_K
ロジックアナライザ	logic|analyzer	L_AA1_JH_IH0_K|AE1_N_AH0_L_AY2_Z_ER0
ロジカル	logical	L_AA1_JH_IH0_K_AH0_L
ログイン	login	L_AO1_G_IH2_N
ロジスティクス	logistics	L_AH0_JH_IH1_S_T_IH0_K_S
ロジスティックス	logistics	L_AH0_JH_IH1_S_T_IH0_K_S
ロゴ	logo	L_OW1_G_OW0
ロゴス	logos	L_OW1_G_OW2_Z
ロゴタイプ	logotype	L_OW1_G_AH0_T_AY2_P
ロリータ	lolita	L_OW0_L_IY1_T_AH0
ロリポップ	lollipop	L_AA1_L_IY0_P_AA2_P
ロンリネス	loneliness	L_OW1_N_L_IY0_N_AH0_S
ロンリー	lonely	L_OW1_N_L_IY0
ロング	long	L_AO1_NG
ロングサーキットアピール	long|circuit|appeal	L_AO1_NG|S_ER1_K_AH0_T|AH0_P_IY1_L
ロングライフクーラント	long|life|coolant	L_AO1_NG|L_AY1_F|K_UW1_L_AH0_N_T
ロングレンジ	long|range	L_AO1_NG|R_EY1_N_JH
ロングボウ	longbow	L_AO1_NG_B_OW2
ロングショット	longshot	L_AO1_NG_SH_AA2_T
ルック	look	L_UH1_K
ルックス	looks	L_UH1_K_S
ループ	loop	L_UW1_P
ループタイ	loop|tie	L_UW1_P|T_AY1
ルーズ	loose	L_UW1_S
ルーズリーフ	loose|leaf	L_UW1_S|L_IY1_F
ルース	loose	L_UW1_S
ロアー	lore	L_AO1_R
ローレライ	lorelei	L_AO1_R_IH0_L_AY2
ロリス	loris	L_AO1_R_IH0_S
ルーザー	loser	L_UW1_Z_ER0
ロス	loss	L_AO1_S
ロスト	lost	L_AO1_S_T
ロストバゲージ	lost|baggage	L_AO1_S_T|B_AE1_G_IH0_JH
ロストジェネレーション	lost|generation	L_AO1_S_T|JH_EH2_N_ER0_EY1_SH_AH0_N
ロット	lot	L_AA1_T
ロットー	lot	L_AA1_T
ロト	lot	L_AA1_T
ローション	lotion	L_OW1_SH_AH0_N
ロッテリー	lottery	L_AA1_T_ER0_IY0
ロータス	lotus	L_OW1_T_AH0_S
ラウドスピーカー	loudspeaker	L_AW1_D_S_P_IY2_K_ER0
ルイジアナ	louisiana	L_UW0_IY2_Z_IY0_AE1_N_AH0
ラウンジ	lounge	L_AW1_N_JH
ラウジネス	lousiness	L_AW1_Z_IY0_N_AH0_S
ルーヴル	louvre	L_UW1_V_R_AH0
ルーブル	louvre	L_UW1_V_R_AH0
ラヴ	love	L_AH1_V
ラブ	love	L_AH1_V
ラブコメディー	love|comedy	L_AH1_V|K_AA1_M_AH0_D_IY0
ラブホテル	love|hotel	L_AH1_V|HH_OW0_T_EH1_L
ラブイン	love|in	L_AH1_V|IH0_N
ラブラブ	love|love	L_AH1_V|L_AH1_V
ラブリー	lovely	L_AH1_V_L_IY0
ラバー	lover	L_AH1_V_ER0
ロー	low	L_OW1
ローカーボ	low|carb	L_OW1|K_AA1_R_B
ロカボ	low|carb	L_OW1|K_AA1_R_B
ローカット	low|cut	L_OW1|K_AH1_T
ローファット	low|fat	L_OW1|F_AE1_T
ローヒール	low|heel	L_OW1|HH_IY1_L
ローキー	low|key	L_OW1|K_IY1
ローレベル	low|level	L_OW1|L_EH1_V_AH0_L
ロープライス	low|price	L_OW1|P_R_AY1_S
ローサルファ	low|sulphur	L_OW1|S_AH1_L_F_ER0
ロックス	lox	L_AA1_K_S
ルアンダ	luanda	L_UW0_AA1_N_D_AH0
ルアウ	luau	L_UW1_AW2
ルブリケーション	lubrication	L_UW2_B_R_IH0_K_EY1_SH_AH0_N
ルーセント	lucent	L_UW1_S_IH0_N_T
ルーサン	lucerne	L_UW1_S_ER0_N
ラッキー	lucky	L_AH1_K_IY0
ラッキィ	lucky	L_AH1_K_IY0
リュージュ	luge	L_UW1_JH
ラゲージ	luggage	L_AH1_G_AH0_JH
ラゲッジ	luggage	L_AH1_G_AH0_JH
ラッゲージ	luggage	L_AH1_G_AH0_JH
ララバイ	lullaby	L_AH1_L_AH0_B_AY2
ルーメン	lumen	L_UW1_M_AH0_N
ルーメン	lumen	L_UW1_M_AH0_N
ルミネセンス	luminescence	L_UW2_M_AH0_N_EH1_S_AH0_N_S
ルミネッセンス	luminescence	L_UW2_M_AH0_N_EH1_S_AH0_N_S
ルミノール	luminol	L_UW2_M_IH0_N_AO1_L
ランチ	lunch	L_AH1_N_CH
ランチョン	luncheon	L_AH1_N_CH_AH0_N
ランチタイム	lunchtime	L_AH1_N_CH_T_AY2_M
ルンゲ	lunge	L_AH1_N_JH
ランジ	lunge	L_AH1_N_JH
ルパン	lupin	L_UW1_P_AH0_N
ルーピン	lupine	L_UW1_P_AY2_N
ルアー	lure	L_UH1_R
ルサカ	lusaka	L_UW0_S_AA1_K_AH0
リュート	lute	L_UW1_T
ルクス	lux	L_AH1_K_S
ルックス	lux	L_AH1_K_S
リュクサンブール	luxembourg	L_AH1_K_S_AH0_M_B_AO2_R_G
ルクセンブルク	luxembourg	L_AH1_K_S_AH0_M_B_AO2_R_G
ラクシャリー	luxury	L_AH1_G_ZH_ER0_IY0
ラグジュアリー	luxury	L_AH1_G_ZH_ER0_IY0
ライコス	lycos	L_AY1_K_OW0_S
リディア	lydia	L_IH1_D_IY0_AH0
リュディア	lydia	L_IH1_D_IY0_AH0
リンチ	lynch	L_IH1_N_CH
リュラー	lyra	L_AY1_R_AH0
リラ	lyra	L_AY1_R_AH0
ライア	lyre	L_AY1_R
ライアー	lyre	L_AY1_R
リリカル	lyrical	L_IH1_R_IH0_K_AH0_L
リリシズム	lyricism	L_IH1_R_IH0_S_IH2_Z_AH0_M
リリック	lyrics	L_IH1_R_IH0_K_S
