アブストラクトアート	abstract|art	AE0_B_S_T_R_AE1_K_T|AA1_R_T
ホームクッキング	home|cooking	HH_OW1_M|K_UH1_K_IH0_NG
ホームドクター	home|doctor	HH_OW1_M|D_AA1_K_T_ER0
ホームドア	home|door	HH_OW1_M|D_AO1_R
ホームドラマ	home|drama	HH_OW1_M|D_R_AA1_M_AH0
ホームドレス	home|dress	HH_OW1_M|D_R_EH1_S
ホームエコノミックス	home|economics	HH_OW1_M|EH2_K_AH0_N_AA1_M_IH0_K_S
ホームエレクトロニクス	home|electronics	HH_OW1_M|IH2_L_EH2_K_T_R_AA1_N_IH0_K_S
ホームフリージング	home|freezing	HH_OW1_M|F_R_IY1_Z_IH0_NG
ホームゲーム	home|game	HH_OW1_M|G_EY1_M
ホームゲートウェイ	home|gateway	HH_OW1_M|G_EY1_T_W_EY2
ホームグラウンド	home|ground	HH_OW1_M|G_R_AW1_N_D
ホームグランド	home|ground	HH_OW1_M|G_R_AW1_N_D
ホームインプルーブメント	home|improvement	HH_OW1_M|IH2_M_P_R_UW1_V_M_AH0_N_T
ホームイン	home|in	HH_OW1_M|IH0_N
ホームロイヤー	home|lawyer	HH_OW1_M|L_AO1_Y_ER0
ホームマシン	home|machine	HH_OW1_M|M_AH0_SH_IY1_N
ホームムービー	home|movie	HH_OW1_M|M_UW1_V_IY0
ホームページ	home|page	HH_OW1_M|P_EY1_JH
ホームパーティ	home|party	HH_OW1_M|P_AA1_R_T_IY0
ホームパーティー	home|party	HH_OW1_M|P_AA1_R_T_IY0
ホームプレート	home|plate	HH_OW1_M|P_L_EY1_T
ホームポジション	home|position	HH_OW1_M|P_AH0_Z_IH1_SH_AH0_N
ホームリザベーション	home|reservation	HH_OW1_M|R_EH2_Z_ER0_V_EY1_SH_AH0_N
ホームラン	home|run	HH_OW1_M|R_AH1_N
ホームランダービー	home|run|derby	HH_OW1_M|R_AH1_N|D_ER1_B_IY0
ホームスクーリング	home|schooling	HH_OW1_M|S_K_UW1_L_IH0_NG
ホームセキュリティーシステム	home|security|system	HH_OW1_M|S_IH0_K_Y_UH1_R_AH0_T_IY0|S_IH1_S_T_AH0_M
ホームソーイング	home|sewing	HH_OW1_M|S_OW1_IH0_NG
ホームショッピング	home|shopping	HH_OW1_M|SH_AA1_P_IH0_NG
ホームステージング	home|staging	HH_OW1_M|S_T_EY1_JH_IH0_NG
ホームスチール	home|steal	HH_OW1_M|S_T_IY1_L
ホームストレート	home|straight	HH_OW1_M|S_T_R_EY1_T
ホームチーム	home|team	HH_OW1_M|T_IY1_M
ホームテレホン	home|telephone	HH_OW1_M|T_EH1_L_AH0_F_OW2_N
ホームターミナル	home|terminal	HH_OW1_M|T_ER1_M_IH0_N_AH0_L
ホームシアター	home|theater	HH_OW1_M|TH_IY1_EY0_T_ER0
ホームトレード	home|trade	HH_OW1_M|T_R_EY1_D
ホームトレーディング	home|trading	HH_OW1_M|T_R_EY1_D_IH0_NG
ホームティーチャー	home|tutor	HH_OW1_M|T_UW1_T_ER0
ホームユース	home|use	HH_OW1_M|Y_UW1_S
ホームユーザ	home|user	HH_OW1_M|Y_UW1_Z_ER0
ホームユーザー	home|user	HH_OW1_M|Y_UW1_Z_ER0
ホームウエア	home|wear	HH_OW1_M|W_EH1_R
ホームカミングデイー	homecoming|day	HH_OW1_M_K_AH2_M_IH0_NG|D_EY1
ホームグロウンテロ	homegrown|terror	HH_OW1_M_G_R_OW1_N|T_EH1_R_ER0
ホームランド	homeland	HH_OW1_M_L_AE2_N_D
ホームタウンディシジョン	hometown|decision	HH_OW1_M_T_AW2_N|D_IH0_S_IH1_ZH_AH0_N
ホームタウンデシジョン	hometown|decision	HH_OW1_M_T_AW2_N|D_IH0_S_IH1_ZH_AH0_N
ホモファーベル	homo|faber	HH_OW1_M_OW0|F_EY1_B_ER0
ホモファベル	homo|faber	HH_OW1_M_OW0|F_EY1_B_ER0
ホモサピエンス	homo|sapiens	HH_OW1_M_OW0|S_EY1_P_IY0_AH0_N_Z
ホモジニアスコンソリデーション	homogeneous|consolidation	HH_OW2_M_AH0_JH_IY1_N_IY0_AH0_S|K_AH0_N_S_AA2_L_AH0_D_EY1_SH_AH0_N
ハニートラップ	honey|trap	HH_AH1_N_IY0|T_R_AE1_P
ハネムーンベビー	honeymoon|baby	HH_AH1_N_IY0_M_UW2_N|B_EY1_B_IY0
フックボール	hook|bowl	HH_UH1_K|B_OW1_L
ホップステップジャンプ	hop|step|jump	HH_AA1_P|S_T_EH1_P|JH_AH1_M_P
ホーンシャーク	horn|shark	HH_AO1_R_N|SH_AA1_R_K
オードブル	hors|d'oeuvre	HH_AO1_R_Z|D_ER1_V
ホースレース	horse|race	HH_AO1_R_S|R_EY1_S
ホストバスアダプタ	host|bus|adapter	HH_OW1_S_T|B_AH1_S|AH0_D_AE1_P_T_ER0
ホストクラブ	host|club	HH_OW1_S_T|K_L_AH1_B
ホストコンピュータ	host|computer	HH_OW1_S_T|K_AH0_M_P_Y_UW1_T_ER0
ホストコンピューター	host|computer	HH_OW1_S_T|K_AH0_M_P_Y_UW1_T_ER0
ホストカントリー	host|country	HH_OW1_S_T|K_AH1_N_T_R_IY0
ホストファミリー	host|family	HH_OW1_S_T|F_AE1_M_AH0_L_IY0
ホストファーザー	host|father	HH_OW1_S_T|F_AA1_DH_ER0
ホストマシン	host|machine	HH_OW1_S_T|M_AH0_SH_IY1_N
ホストマザー	host|mother	HH_OW1_S_T|M_AH1_DH_ER0
ホストノード	host|node	HH_OW1_S_T|N_OW1_D
ホストシステム	host|system	HH_OW1_S_T|S_IH1_S_T_AH0_M
キャバレークラブ	cabaret|club	K_AE2_B_ER0_EY1|K_L_AH1_B
ホスティングサーバ	hosting|server	HH_OW1_S_T_IH0_NG|S_ER1_V_ER0
ホスティングサーバー	hosting|server	HH_OW1_S_T_IH0_NG|S_ER1_V_ER0
ホスティングサービス	hosting|service	HH_OW1_S_T_IH0_NG|S_ER1_V_AH0_S
ホットアトム	hot|atom	HH_AA1_T|AE1_T_AH0_M
ホットバックアップ	hot|backup	HH_AA1_T|B_AE1_K_AH2_P
ホットバルーン	hot|balloon	HH_AA1_T|B_AH0_L_UW1_N
ホットチョコレート	hot|chocolate	HH_AA1_T|CH_AO1_K_L_AH0_T
ホットココア	hot|cocoa	HH_AA1_T|K_OW1_K_OW0
ホットコーラ	hot|cola	HH_AA1_T|K_OW1_L_AH0
ホットコーナー	hot|corner	HH_AA1_T|K_AO1_R_N_ER0
ホットカーラー	hot|curler	HH_AA1_T|K_ER1_L_ER0
ホットドッキング	hot|docking	HH_AA1_T|D_AA1_K_IH0_NG
ホットドッグ	hot|dog	HH_AA1_T|D_AO1_G
ホットフラッシュ	hot|flush	HH_AA1_T|F_L_AH1_SH
ホットハッチ	hot|hatch	HH_AA1_T|HH_AE1_CH
ホットジャズ	hot|jazz	HH_AA1_T|JH_AE1_Z
ホットラボラトリー	hot|laboratory	HH_AA1_T|L_AE1_B_R_AH0_T_AO2_R_IY0
ホットライン	hot|line	HH_AA1_T|L_AY1_N
ホットマネー	hot|money	HH_AA1_T|M_AH1_N_IY0
ホットニュース	hot|news	HH_AA1_T|N_UW1_Z
ホットプラグ	hot|plug	HH_AA1_T|P_L_AH1_G
ホットポテト	hot|potato	HH_AA1_T|P_AH0_T_EY1_T_OW2
ホットリセット	hot|reset	HH_AA1_T|R_IY0_S_EH1_T
ホットロッド	hot|rod	HH_AA1_T|R_AA1_D
ホットサンド	hot|sand	HH_AA1_T|S_AE1_N_D
ホットサンドメーカー	hot|sand|maker	HH_AA1_T|S_AE1_N_D|M_EY1_K_ER0
ホットソース	hot|sauce	HH_AA1_T|S_AO1_S
ホットシュー	hot|shoe	HH_AA1_T|SH_UW1
ホットスポット	hot|spot	HH_AA1_T|S_P_AA1_T
ホットスタンバイ	hot|stand-by	HH_AA1_T|S_T_AE1_N_D_B_AY2
ホットスタート	hot|start	HH_AA1_T|S_T_AA1_R_T
ホットスワップ	hot|swap	HH_AA1_T|S_W_AA1_P
ホットタイプ	hot|type	HH_AA1_T|T_AY1_P
ホットウォレット	hot|wallet	HH_AA1_T|W_AO1_L_AH0_T
ホットウオー	hot|war	HH_AA1_T|W_AO1_R
ホットウィスキー	hot|whiskey	HH_AA1_T|W_IH1_S_K_IY0
ホットウイスキー	hot|whiskey	HH_AA1_T|W_IH1_S_K_IY0
ホットヨーガ	hot|yoga	HH_AA1_T|Y_OW1_G_AH0
ホットヨガ	hot|yoga	HH_AA1_T|Y_OW1_G_AH0
ホットケーキミックス	hotcake|mix	HH_AA1_T_K_EY2_K|M_IH1_K_S
ホテルレストラン	hotel|restaurant	HH_OW0_T_EH1_L|R_EH1_S_T_ER0_AA2_N_T
ハウスビル	house|bill	HH_AW1_S|B_IH1_L
ハウスボート	house|boat	HH_AW1_S|B_OW1_T
ハウスダスト	house|dust	HH_AW1_S|D_AH1_S_T
ハウスエッジ	house|edge	HH_AW1_S|EH1_JH
ハウスミュージック	house|music	HH_AW1_S|M_Y_UW1_Z_IH0_K
ハウスシェア	house|share	HH_AW1_S|SH_EH1_R
ハウスワイン	house|wine	HH_AW1_S|W_AY1_N
ハウジングサービス	housing|service	HH_AW1_Z_IH0_NG|S_ER1_V_AH0_S
ホバーボード	hover|board	HH_AH1_V_ER0|B_AO1_R_D
ハブリング	hub|ring	HH_AH1_B|R_IH1_NG
ホイールキャップ	wheel|cap	W_IY1_L|K_AE2_P
フラダンス	hula|dance	HH_UW1_L_AH0|D_AE1_N_S
フラフープ	hula|hoop	HH_UW1_L_AH0|HH_UW1_P
ヒューマンアセスメント	human|assessment	HH_Y_UW1_M_AH0_N|AH0_S_EH1_S_M_AH0_N_T
ヒューマンドキュメント	human|document	HH_Y_UW1_M_AH0_N|D_AA1_K_Y_AH0_M_EH0_N_T
ヒューマンエコロジー	human|ecology	HH_Y_UW1_M_AH0_N|IH0_K_AA1_L_AH0_JH_IY0
ヒューマンエンジニアリング	human|engineering	HH_Y_UW1_M_AH0_N|EH1_N_JH_AH0_N_IH1_R_IH0_NG
ヒューマンエラー	human|error	HH_Y_UW1_M_AH0_N|EH1_R_ER0
ヒューマンインタレスト	human|interest	HH_Y_UW1_M_AH0_N|IH1_N_T_AH0_R_EH2_S_T
ヒューマンインターフェース	human|interface	HH_Y_UW1_M_AH0_N|IH1_N_T_ER0_F_EY2_S
ヒューマンインタフェース	human|interface	HH_Y_UW1_M_AH0_N|IH1_N_T_ER0_F_EY2_S
ヒューマンリレーションズ	human|relations	HH_Y_UW1_M_AH0_N|R_IY0_L_EY1_SH_AH0_N_Z
ヒューマンリソース	human|resource	HH_Y_UW1_M_AH0_N|R_IY1_S_AO0_R_S
ヒューマンライツ	human|rights	HH_Y_UW1_M_AH0_N|R_AY1_T_S
ヒューマンウエーブ	human|wave	HH_Y_UW1_M_AH0_N|W_EY1_V
ユマニスム	humanism	HH_Y_UW1_M_AH0_N_IH2_Z_AH0_M
ユマニスト	humanist	HH_Y_UW1_M_AH0_N_IH0_S_T
ユーモアセンス	humor|sense	HH_Y_UW1_M_ER0|S_EH1_N_S
ハングパーラメント	hung|parliament	HH_AH1_NG|P_AA1_R_L_AH0_M_EH0_N_T
ハンガーノック	hunger|knock	HH_AH1_NG_G_ER0|N_AA1_K
ハンガーストライキ	hunger|strike	HH_AH1_NG_G_ER0|S_T_R_AY1_K
ハングリーマーケット	hungry|market	HH_AH1_NG_G_R_IY0|M_AA1_R_K_AH0_T
ハンターキラー	hunter|killer	HH_AH1_N_T_ER0|K_IH1_L_ER0
ハリケーンカトリーナ	hurricane|katrina	HH_ER1_AH0_K_EY2_N|K_AH0_T_R_IY1_N_AH0
ハッシュパピー	hush|puppy	HH_AH1_SH|P_AH1_P_IY0
ハスキーボイス	husky|voice	HH_AH1_S_K_IY0|V_OY1_S
ヒアシンス	hyacinth	HH_AY1_AH0_S_IH2_N_TH
ヒヤシンス	hyacinth	HH_AY1_AH0_S_IH2_N_TH
ハイブリッドカー	hybrid|car	HH_AY1_B_R_AH0_D|K_AA1_R
ハイブリッドコンピューター	hybrid|computer	HH_AY1_B_R_AH0_D|K_AH0_M_P_Y_UW1_T_ER0
ハイブリッドディスク	hybrid|disk	HH_AY1_B_R_AH0_D|D_IH1_S_K
ヒポコンデリー	hypochondria	HH_AY2_P_AH0_K_AA1_N_D_R_IY0_AH0
ヒステリー	hysteria	HH_IH0_S_T_EH1_R_IY0_AH0
アイラブユー	i|love|you	AY1|L_AH1_V|Y_UW1
アイスアリーナ	ice|arena	AY1_S|ER0_IY1_N_AH0
アイスパック	ice|bag	AY1_S|B_AE1_G
アイスバー	ice|bar	AY1_S|B_AA1_R
アイスブリッジ	ice|bridge	AY1_S|B_R_IH1_JH
アイスバケット	ice|bucket	AY1_S|B_AH1_K_IH0_T
アイスキャンデー	ice|candy	AY1_S|K_AE1_N_D_IY0
アイスキャンディ	ice|candy	AY1_S|K_AE1_N_D_IY1
アイスキャンディー	ice|candy	AY1_S|K_AE1_N_D_IY2
アイスクライミング	ice|climbing	AY1_S|K_L_AY1_M_IH0_NG
アイスコンデンサ	ice|condenser	AY1_S|K_AH0_N_D_EH1_N_S_ER0
アイスクリームコーン	ice|cream|cone	AY1_S|K_R_IY1_M|K_OW1_N
アイスクリームソーダ	ice|cream|soda	AY1_S|K_R_IY1_M|S_OW1_D_AH0
アイスクリームサンデー	ice|cream|sundae	AY1_S|K_R_IY1_M|S_AH1_N_D_EY0
アイスキューブ	ice|cube	AY1_S|K_Y_UW1_B
アイスダンス	ice|dance	AY1_S|D_AE1_N_S
アイスダイビング	ice|diving	AY1_S|D_AY1_V_IH0_NG
アイスジャイアント	ice|giant	AY1_S|JH_AY1_AH0_N_T
アイスホッケー	ice|hockey	AY1_S|HH_AA1_K_IY0
アイスミルク	ice|milk	AY1_S|M_IH1_L_K
アイスピック	ice|pick	AY1_S|P_IH1_K
アイスプラント	ice|plant	AY1_S|P_L_AE1_N_T
アイスプディング	ice|pudding	AY1_S|P_UH1_D_IH0_NG
アイスリンク	ice|rink	AY1_S|R_IH1_NG_K
アイスショー	ice|show	AY1_S|SH_OW1
アイススケート	ice|skate	AY1_S|S_K_EY1_T
アイススレッジホッケー	ice|sledge|hockey	AY1_S|S_L_EH1_JH|HH_AA1_K_IY0
アイスティ	ice|tea	AY1_S|T_IY1
アイスティー	ice|tea	AY1_S|T_IY1
アイストング	ice|tong	AY1_S|T_AA1_NG
アイスヨット	ice|yacht	AY1_S|Y_AA1_T
アイスコーヒー	ice|coffee	AY1_S|K_AA1_F_IY0
コールドコーヒー	cold|coffee	K_OW1_L_D|K_AA1_F_IY0
アイスウォーター	ice|water	AY1_S|W_AO1_T_ER0
アイスランドポピー	iceland|poppy	AY1_S_L_AH0_N_D|P_AA1_P_IY0
アイシングザパック	icing|the|puck	AY1_S_IH0_NG|DH_AH0|P_AH1_K
アイコンキャラクタ	icon|character	AY1_K_AA0_N|K_EH1_R_IH0_K_T_ER0
アイコンエディタ	icon|editor	AY1_K_AA0_N|EH1_D_AH0_T_ER0
アイスバーン	icy|bahn	AY1_S|B_AE1_N
アイディア	idea	AY0_D_IY1_AH0
アイデア	idea	AY0_D_IY1_AH0
アイデアマン	idea|man	AY0_D_IY1_AH0|M_AE1_N
アイディアマン	idea|man	AY0_D_IY1_AH0|M_AE1_N
アイデアプロセッサ	idea|processor	AY0_D_IY1_AH0|P_R_AA1_S_EH2_S_ER0
アイデアラッシュ	idea|rush	AY0_D_IY1_AH0|R_AH1_SH
アイデアル	ideal	AY0_D_IY1_L
アイディアル	ideal	AY0_D_IY1_L
アイデンティフィケーションカード	identification|card	AY0_D_EH2_N_T_AH0_F_AH0_K_EY1_SH_AH0_N|K_AA1_R_D
アイデンティティーカード	identity|card	AY0_D_EH1_N_T_AH0_T_IY2|K_AA1_R_D
アイデンティティークライシス	identity|crisis	AY0_D_EH1_N_T_AH0_T_IY2|K_R_AY1_S_AH0_S
アイデンティティクライシス	identity|crisis	AY0_D_EH1_N_T_AH0_T_IY2|K_R_AY1_S_AH0_S
アイデンティティポリティクス	identity|politics	AY0_D_EH1_N_T_AH0_T_IY2|P_AA1_L_AH0_T_IH2_K_S
イデオロギッシュ	ideological	AY2_D_IY0_AH0_L_AA1_JH_IH0_K_AH0_L
イデオロギ	ideology	AY2_D_IY0_AA1_L_AH0_JH_IY0
イデオロギー	ideology	AY2_D_IY0_AA1_L_AH0_JH_IY0
アイドルビット	idle|bit	AY1_D_AH0_L|B_IH1_T
アイドルキャピタル	idle|capital	AY1_D_AH0_L|K_AE1_P_IH0_T_AH0_L
アイドルコスト	idle|cost	AY1_D_AH0_L|K_AA1_S_T
アイドルフラグ	idle|flag	AY1_D_AH0_L|F_L_AE1_G
アイドルギア	idle|gear	AY1_D_AH0_L|G_IH1_R
アイドルギヤ	idle|gear	AY1_D_AH0_L|G_IH1_R
アイドルインタラプト	idle|interrupt	AY1_D_AH0_L|IH2_N_T_ER0_AH1_P_T
アイドルマネー	idle|money	AY1_D_AH0_L|M_AH1_N_IY0
アイドルシステム	idle|system	AY1_D_AH0_L|S_IH1_S_T_AH0_M
アイドルタイム	idle|time	AY1_D_AH0_L|T_AY1_M
アイドルコラージュ	idol|collage	AY1_D_AH0_L|K_AH0_L_AA1_ZH
アイドルグループ	idol|group	AY1_D_AH0_L|G_R_UW1_P
イグニッションコイル	ignition|coil	IH2_G_N_IH1_SH_AH0_N|K_OY1_L
イグニッションキー	ignition|key	IH2_G_N_IH1_SH_AH0_N|K_IY1
アイムソーリー	i'm|sorry	AY1_M|S_AA1_R_IY0
イメージバッファ	image|buffer	IH1_M_AH0_JH|B_AH1_F_ER0
イメージカード	image|card	IH1_M_AH0_JH|K_AA1_R_D
イメージチェンジ	image|change	IH1_M_AH0_JH|CH_EY1_N_JH
イメージキャラクター	image|character	IH1_M_AH0_JH|K_EH1_R_IH0_K_T_ER0
イメージクラブ	image|club	IH1_M_AH0_JH|K_L_AH1_B
イメージデータ	image|data	IH1_M_AH0_JH|D_EY1_T_AH0
イメージダウン	image|down	IH1_M_AH0_JH|D_AW1_N
イメージファイル	image|file	IH1_M_AH0_JH|F_AY1_L
イメージガール	image|girl	IH1_M_AH0_JH|G_ER1_L
イメージメーカー	image|maker	IH1_M_AH0_JH|M_EY1_K_ER0
イメージプリンタ	image|printer	IH1_M_AH0_JH|P_R_IH1_N_T_ER0
イメージリサーチ	image|research	IH1_M_AH0_JH|R_IY0_S_ER1_CH
イメージスキャナ	image|scanner	IH1_M_AH0_JH|S_K_AE1_N_ER0
イメージスキャナー	image|scanner	IH1_M_AH0_JH|S_K_AE1_N_ER0
イメージセンサ	image|sensor	IH1_M_AH0_JH|S_EH1_N_S_ER0
イメージセンサー	image|sensor	IH1_M_AH0_JH|S_EH1_N_S_ER0
イメージサイズ	image|size	IH1_M_AH0_JH|S_AY1_Z
イメージサーベイ	image|survey	IH1_M_AH0_JH|S_ER0_V_EY1
イメージトレーニング	image|training	IH1_M_AH0_JH|T_R_EY1_N_IH0_NG
イメージアップ	image|up	IH1_M_AH0_JH|AH1_P
イマジナリーフレンド	imaginary|friend	IH2_M_AE1_JH_AH0_N_EH2_R_IY0|F_R_EH1_N_D
イマージョンプログラム	immersion|program	IH2_M_ER1_ZH_AH0_N|P_R_OW1_G_R_AE2_M
インパクトファクター	impact|factor	IH2_M_P_AE1_K_T|F_AE1_K_T_ER0
インパクトローン	impact|loan	IH2_M_P_AE1_K_T|L_OW1_N
インパクトプリンタ	impact|printer	IH2_M_P_AE1_K_T|P_R_IH1_N_T_ER0
インパクトプリンター	impact|printer	IH2_M_P_AE1_K_T|P_R_IH1_N_T_ER0
インポテンス	impotence	IH1_M_P_AH0_T_AH0_N_S
インポテンツ	impotence	IH1_M_P_AH0_T_AH0_N_S
アンプレショニスム	impressionism	IH2_M_P_R_EH1_SH_AH0_N_IH2_Z_AH0_M
アンプレッショニスム	impressionism	IH2_M_P_R_EH1_SH_AH0_N_IH2_Z_AH0_M
インコーナー	in|corner	IH2_N|K_AO1_R_N_ER0
インプレー	in|play	IH0_N|P_L_EY1
インザホール	in|the|hole	IH0_N|DH_AH0|HH_OW1_L
インビトロ	in|vitro	IH0_N|V_IH1_T_R_OW0
インアクティブウィンドウ	inactive|window	IH2_N_AE1_K_T_IH0_V|W_IH1_N_D_OW0
インセンティブセール	incentive|sale	IH2_N_S_EH1_N_T_IH0_V|S_EY1_L
インセストタブー	incest|taboo	IH1_N_S_EH2_S_T|T_AE0_B_UW1
インチ	inch	IH1_N_CH
インカムタックス	income|tax	IH1_N_K_AH2_M|T_AE1_K_S
インクリメンタルバックアップ	incremental|backup	IH2_N_K_R_AH0_M_EH1_N_T_AH0_L|B_AE1_K_AH2_P
インクリメンタルサーチ	incremental|search	IH2_N_K_R_AH0_M_EH1_N_T_AH0_L|S_ER1_CH
インディペンデント	independent	IH2_N_D_IH0_P_EH1_N_D_AH0_N_T
インデックスバッファ	index|buffer	IH1_N_D_EH0_K_S|B_AH1_F_ER0
インデックスファンド	index|fund	IH1_N_D_EH0_K_S|F_AH1_N_D
インデックスホール	index|hole	IH1_N_D_EH0_K_S|HH_OW1_L
インデックスレジスタ	index|register	IH1_N_D_EH0_K_S|R_EH1_JH_IH0_S_T_ER0
インデックスレジスター	index|register	IH1_N_D_EH0_K_S|R_EH1_JH_IH0_S_T_ER0
インデックスファイル	indexed|file	IH1_N_D_EH0_K_S_T|F_AY1_L
インディアンブルー	indian|blue	IH1_N_D_IY0_AH0_N|B_L_UW1
インドカレー	indo|curry	IH1_N_D_OW0|K_AH1_R_IY0
インディアンサマー	indian|summer	IH1_N_D_IY0_AH0_N|S_AH1_M_ER0
インジケータランプ	indicator|light	IH1_N_D_AH0_K_EY2_T_ER0|L_AY1_T
インジゴブルー	indigo|blue	IH1_N_D_AH0_G_OW2|B_L_UW1
インジゴカーマイン	indigo|carmine	IH1_N_D_AH0_G_OW2|K_AA1_R_M_AY2_N
インジゴカーミン	indigo|carmine	IH1_N_D_AH0_G_OW2|K_AA1_R_M_AY2_N
インジゴカルミン	indigo|carmine	IH1_N_D_AH0_G_OW2|K_AA1_R_M_AY2_N
インドアゲーム	indoor|game	IH1_N_D_AO2_R|G_EY1_M
インドアプレーグラウンド	indoor|playground	IH1_N_D_AO2_R|P_L_EY1_G_R_AW2_N_D
インドアプレイグラウンド	indoor|playground	IH1_N_D_AO2_R|P_L_EY1_G_R_AW2_N_D
インドアスポーツ	indoor|sports	IH1_N_D_AO2_R|S_P_AO1_R_T_S
インダクションコイル	induction|coil	IH2_N_D_AH1_K_SH_AH0_N|K_OY1_L
インダクションモーター	induction|motor	IH2_N_D_AH1_K_SH_AH0_N|M_OW1_T_ER0
インダストリアルデザイン	industrial|design	IH2_N_D_AH1_S_T_R_IY0_AH0_L|D_IH0_Z_AY1_N
インダストリアルデザイナー	industrial|designer	IH2_N_D_AH1_S_T_R_IY0_AH0_L|D_IH0_Z_AY1_N_ER0
インダストリアルエンジニアリング	industrial|engineering	IH2_N_D_AH1_S_T_R_IY0_AH0_L|EH1_N_JH_AH0_N_IH1_R_IH0_NG
インダストリアルパーク	industrial|park	IH2_N_D_AH1_S_T_R_IY0_AH0_L|P_AA1_R_K
インフェリオリティーコンプレックス	inferiority|complex	IH2_N_F_IH0_R_IY0_AO1_R_IH0_T_IY2|K_AA1_M_P_L_EH0_K_S
インフェルノ	inferno	IH2_N_F_ER1_N_OW2
インフィールドフライ	infield|fly	IH1_N_F_IY2_L_D|F_L_AY1
インフレーションターゲット	inflation|target	IH2_N_F_L_EY1_SH_AH0_N|T_AA1_R_G_AH0_T
インフルエンザワクチン	influenza|vaccine	IH2_N_F_L_UW0_EH1_N_Z_AH0|V_AE2_K_S_IY1_N
インフルエンザウイルス	influenza|virus	IH2_N_F_L_UW0_EH1_N_Z_AH0|V_AY1_R_AH0_S
インフォストラクチャー	info|structure	IH1_N_F_OW0|S_T_R_AH1_K_CH_ER0
インフォーマルケア	informal|care	IH2_N_F_AO1_R_M_AH0_L|K_EH1_R
インフォーマルドレス	informal|dress	IH2_N_F_AO1_R_M_AH0_L|D_R_EH1_S
インフォーマルオーガニゼーション	informal|organization	IH2_N_F_AO1_R_M_AH0_L|AO2_R_G_AH0_N_AH0_Z_EY1_SH_AH0_N
インフォメーションアナリスト	information|analyst	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|AE1_N_AH0_L_IH0_S_T
インフォメーションブローカー	information|broker	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|B_R_OW1_K_ER0
インフォメーションセンター	information|center	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|S_EH1_N_T_ER0
ドキュメンテーションセンタ	documentation|centre	D_AA2_K_Y_UW0_M_EH0_N_T_EY1_SH_AH0_N|S_EH1_N_T_ER0
インフォメーションデモクラシー	information|democracy	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|D_IH0_M_AA1_K_R_AH0_S_IY0
インフォメーションディスクロージャー	information|disclosure	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|D_IH0_S_K_L_OW1_ZH_ER0
インフォメーションリテラシー	information|literacy	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|L_IH1_T_ER0_AH0_S_IY0
インフォメーションプロセッシング	information|processing	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|P_R_AA1_S_EH0_S_IH0_NG
インフォメーションプロセッサー	information|processor	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|P_R_AA1_S_EH2_S_ER0
インフォメーションプロバイダー	information|provider	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|P_R_AH0_V_AY1_D_ER0
インフォメーションリトリーバル	information|retrieval	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|R_IH0_T_R_IY1_V_AH0_L
インフォメーションレボリューション	information|revolution	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|R_EH2_V_AH0_L_UW1_SH_AH0_N
インフォメーションサイエンス	information|science	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|S_AY1_AH0_N_S
インフォメーションソサイエティー	information|society	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|S_OW0_S_AY1_IH0_T_IY0
インフォメーションスーパーハイウェイ	information|superhighway	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|S_UW2_P_ER0_HH_AY1_W_EY2
インフォメーションシンジケート	information|syndicate	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|S_IH1_N_D_IH0_K_AH0_T
インフォメーションシステム	information|system	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|S_IH1_S_T_AH0_M
インフォメーションテクノロジー	information|technology	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|T_EH0_K_N_AA1_L_AH0_JH_IY0
インフォメーションセオリー	information|theory	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|TH_IH1_R_IY0
インフォメーションユーティリティー	information|utility	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|Y_UW0_T_IH1_L_AH0_T_IY0
インフォームドコンセント	informed|consent	IH2_N_F_AO1_R_M_D|K_AH0_N_S_EH1_N_T
インフラストラクチャモード	infrastructure|mode	IH2_N_F_R_AH0_S_T_R_AH1_K_CH_ER0|M_OW1_D
イニシャルコスト	initial|cost	IH2_N_IH1_SH_AH0_L|K_AA1_S_T
イニシャルプログラムロード	initial|program|load	IH2_N_IH1_SH_AH0_L|P_R_OW1_G_R_AE2_M|L_OW1_D
インジャリータイム	injury|time	IH1_N_JH_ER0_IY0|T_AY1_M
インジュアリータイム	injury|time	IH1_N_JH_ER0_IY0|T_AY1_M
インジュリータイム	injury|time	IH1_N_JH_ER0_IY0|T_AY1_M
インク	ink	IH1_NG_K
インクボトル	ink|bottle	IH1_NG_K|B_AA1_T_AH0_L
