ア=ー=カ=イ=バ=ル=ファ=イ=ル	AA0=R=K_A=Y1=V_AH0=L=F_A=Y1=L
フ=レッ=シュ=チ=ー=ズ	F=R_EH1=SH=CH_I=Y1=Z
フ=レ=ン=チ=エ=ン=ジェ=ル=フィッ=シュ	F=R_EH1=N=CH=E=Y1=N=JH_AH0=L=F_IH2=SH
フ=レ=ン=チ=エ=ン=ゼ=ル=フィッ=シュ	F=R_EH1=N=CH=E=Y1=N=JH_AH0=L=F_IH2=SH
フ=レ=ン=チ=キ=ス	F=R_EH1=N=CH=K_IH1=S
フ=レ=ン=チ=ス=リ=ー=ブ	F=R_EH1=N=CH=S=L_I=Y1=V
フ=レ=ン=チ=ソ=ー=ス	F=R_EH1=N=CH=D=R_EH1=S_IH0=N=G
フ=レ=ン=チ=ト=ー=ス=ト	F=R_EH1=N=CH=T_O=W1=S=T
フ=レ=ン=チ=ド=レッ=シ=ン=グ	F=R_EH1=N=CH=D=R_EH1=S_IH0=N=G
フ=レ=ン=チ=ブ=ル=ドッ=グ	F=R_EH1=N=CH=B_UH1=L=D_AO2=G
フ=レ=ン=チ=ホ=ル=ン	F=R_EH1=N=CH=HH_AO1=R=N
フ=レ=ン=チ=ポ=テ=ト	F=R_EH1=N=CH=F=R_A=Y1=Z
フ=レ=ン=ド=コ=ー=ド	F=R_EH1=N=D=K_O=W1=D
フ=ロ=ー=コ=ン=ト=ロ=ー=ル	F=L_O=W1=K_AH0=N=T=R_O=W1=L
フ=ロ=ー=ズ=ン=フ=ー=ド	F=R_O=W1=Z_AH0=N=F_U=W1=D
フ=ロ=ー=ティ=ン=グ=パ=レッ=ト	F=L_O=W1=T_IH0=N=G=P_AE1=L_AH0=T
フ=ロ=ー=ト=ガ=ラ=ス	F=L_O=W1=T=G=L_AE1=S
フ=ロ=ア=シ=フ=ト	F=L_AO1=R=SH_IH1=F=T
フ=ロ=ア=ダ=ク=ト	F=L_AO1=R=D_AH1=K=T
フ=ロ=ア=ノ=ー=ド	F=L_AO1=R=N_O=W1=D
フ=ロ=ア=プ=ラ=イ=ス	F=L_AO1=R=P=R_A=Y1=S
フ=ロ=ア=マ=ネ=ー=ジャ=ー	F=L_AO1=R=M_AE1=N_AH0=JH_E=R0
フ=ロ=ア=リ=ミッ=ト	F=L_AO1=R=L_IH1=M_AH0=T
フ=ロ=ア=リ=ン=グ=ブ=ロッ=ク	F=L_AO1=R_IH0=N=G=B=L_AA1=K
フ=ロ=ア=レ=ディ=ー	F=L_AO1=R=L_E=Y1=D_I=Y0
フ=ロッ=ク=コ=ー=ト	F=R_AA1=K=K_O=W1=T
フ=ロッ=ピ=ー=イ=ン=ファ=ン=ト	F=L_AA1=P_I=Y0=IH1=N=F_AH0=N=T
フ=ロッ=ピ=ー=ド=ラ=イ=ブ	F=L_AA1=P_I=Y0=D=R_A=Y1=V
フ=ロ=リ=ダ=バ=ス	F=L_AO1=R_AH0=D_AH0=B_AE1=S
フ=ロ=リ=ダ=パ=ン=サ=ー	F=L_AO1=R_AH0=D_AH0=P_AE1=N=TH_E=R0
フ=ロ=ン=ティ=ア=ス=ピ=リッ=ト	F=R_AH0=N=T_IH1=R=S=P_IH1=R_AH0=T
フ=ロ=ン=ト=ド=ラ=イ=ブ	F=R_AH1=N=T=D=R_A=Y1=V
フ=ロ=ン=ト=バッ=ファ	F=R_AH1=N=T=B_AH1=F_E=R0
フ=ロ=ン=ト=ロ=ー	F=R_AH1=N=T=R_O=W1
ブ=ー=ト=キャ=ン=プ	B_U=W1=T=K_AE1=M=P
ブ=ー=ト=ス=ト=ラッ=プ=プ=ロ=グ=ラ=ム	B_U=W1=T=S=T=R_AE2=P=P=R_O=W1=G=R_AE2=M
ブ=ー=ト=セ=ク=タ	B_U=W1=T=S_EH1=K=T_E=R0
ブ=ー=ト=セ=ク=タ=ー	B_U=W1=T=S_EH1=K=T_E=R0
ブ=ー=ト=ディ=ス=ク	B_U=W1=T=D_IH1=S=K
ブ=ー=ト=ド=ラ=イ=ブ	B_U=W1=T=D=R_A=Y1=V
ブ=ー=ト=ファ=イ=ル	B_U=W1=T=F_A=Y1=L
ブ=ー=ト=プ=ロ=グ=ラ=ム	B_U=W1=T=P=R_O=W1=G=R_AE2=M
ブ=ー=ビ=ー=メ=ー=カ=ー	B_U=W1=B_I=Y0=M_E=Y1=K_E=R0
ブ=エ=ノ=ス=ア=イ=レ=ス	B=W_E=Y1=N_O=W0=S=EH1=R_I=Y0=Z
ブ=チ=ル=ア=ル=コ=ー=ル	B=Y_U=W1=T_AH0=L=AE1=L=K_AH0=HH_AA2=L
ブッ=ク=ク=ラ=ブ	B_UH1=K=K=L_AH1=B
ブッ=ク=ス=タ=ン=ド	B_UH1=K=S=T_AE1=N=D
ブッ=ク=ス=ト=ラッ=プ	B_UH1=K=S=T=R_AE1=P
ブッ=ク=ディ=テ=ク=ショ=ン=シ=ス=テ=ム	B_UH1=K=D_IH0=T_EH1=K=SH_AH0=N=S_IH1=S=T_AH0=M
ブッ=ク=ポ=ス=ト	B_UH1=K=D=R_AA1=P
ブッ=ク=マ=ー=ト	B_UH1=K=M_AA1=R=T
ブッ=ク=レ=ビュ=ー	B_UH1=K=R_I=Y2=V=Y_U=W1
ブッ=シュ=ド=ク=ト=リ=ン	B_UH1=SH=D_AA1=K=T=R_AH0=N
ブッ=シュ=ベ=ビ=ー	B_UH1=SH=B_E=Y1=B_I=Y0
ブッ=ダ	B_U=W1=D_AH0
ブ=ティッ=ク=ホ=テ=ル	B_U=W0=T_I=Y1=K=HH_O=W0=T_EH1=L
ブ=ラ=イ=ダ=ル=イ=ン=ナ=ー	B=R_A=Y1=D_AH0=L=IH1=N_E=R0
ブ=ラ=イ=ダ=ル=ブ=ー=ケ	B=R_A=Y1=D_AH0=L=B_U=W0=K_E=Y1
ブ=ラ=イ=ダ=ル=ベ=ー=ル	B=R_A=Y1=D_AH0=L=V_E=Y1=L
ブ=ラ=イ=ダ=ル=マ=ー=ケッ=ト	B=R_A=Y1=D_AH0=L=M_AA1=R=K_AH0=T
ブ=ラ=イ=ン=シュ=リ=ン=プ	B=R_A=Y1=N=SH=R_IH1=M=P
ブ=ラ=イ=ン=ド=サ=イ=ド	B=L_A=Y1=N=D=S_A=Y1=D
ブ=ラ=イ=ン=ド=タッ=チ	T_A=Y1=P_IH0=N=G=T_AH1=CH
ブ=ラ=イ=ン=ド=テ=ス=ト	B=L_A=Y1=N=D=T_EH1=S=T
ブ=ラ=イ=ン=ド=デ=ー=ト	B=L_A=Y1=N=D=D_E=Y1=T
ブ=ラ=ウ=ザ=バッ=ク	B=R_A=W1=Z_E=R0=B_AE1=K
ブ=ラ=ウ=ジ=ン=グ=ツ=ー=ル	B=R_A=W1=Z_IH0=N=G=T_U=W1=L
ブ=ラ=ウ=ン=エ=ー=ル	B=R_A=W1=N=E=Y1=L
ブ=ラ=ウ=ン=シュ=ガ=ー	B=R_A=W1=N=SH_UH1=G_E=R0
ブ=ラ=ウ=ン=ス=イ=ス	B=R_A=W1=N=S=W_IH1=S
ブ=ラ=ウ=ン=ソ=ー=ス	B=R_A=W1=N=S_AO1=S
ブ=ラ=ウ=ン=ト=ラ=ウ=ト	B=R_A=W1=N=T=R_A=W1=T
ブ=ラ=カッ=プ	B=R_AA1=K_AH1=P
ブ=ラ=ケッ=ト=ク=リ=ー=プ	B=R_AE1=K_IH0=T=K=R_I=Y1=P
ブ=ラ=ジ=ル=ナッ=ツ	B=R_AH0=Z_IH1=L=N_AH1=T
ブ=ラ=ス=ト=ラッ=プ	B=R_AA1=S=T=R_AE1=P
ブ=ラ=ス=バ=ン=ド	B=R_AE1=S=B_AE1=N=D
ブ=ラ=ス=ロッ=ク	B=R_AE1=S=R_AA1=K
ブ=ラッ=ク=ア=フ=リ=カ	B=L_AE1=K=AE1=F=R_IH0=K_AA0
ブ=ラッ=ク=ゲッ=ト=ー	B=L_AE1=K=G_EH1=T_O=W0
ブ=ラッ=ク=コ=ー=ヒ=ー	B=L_AE1=K=K_AA1=F_I=Y0
ブ=ラッ=ク=ジャ=ー=ナ=リ=ズ=ム	B=L_AE1=K=JH_E=R1=N_AH0=L_IH2=Z_AH0=M
ブ=ラッ=ク=タ=イ	B=L_AE1=K=T_A=Y1
ブ=ラッ=ク=チェ=ン=バ=ー	B=L_AE1=K=CH_E=Y1=M=B_E=R0
ブ=ラッ=ク=ティ=ー	B=L_AE1=K=T_I=Y1
ブ=ラッ=ク=バ=ー=ス=ト	B=L_AE1=K=B_E=R1=S=T
ブ=ラッ=ク=バ=ス	B=L_AE1=K=B_AE1=S
ブ=ラッ=ク=パ=ワ=ー	B=L_AE1=K=P_A=W1=E=R0
ブ=ラッ=ク=パ=ン=サ=ー	B=L_AE1=K=P_AE1=N=TH_E=R0
ブ=ラッ=ク=フ=ラ=イ=デ=ー	B=L_AE1=K=F=R_A=Y1=D_I=Y0
ブ=ラッ=ク=ホ=ー=ル	B=L_AE1=K=HH_O=W1=L
ブ=ラッ=ク=ボッ=ク=ス	B=L_AE1=K=B_AA1=K=S
ブ=ラッ=ク=マ=ー=ケッ=ト	B=L_AE1=K=M_AA1=R=K_AH0=T
ブ=ラッ=ク=マ=ジッ=ク	B=L_AE1=K=M_AE1=JH_IH0=K
ブ=ラッ=ク=マ=ネ=ー	B=L_AE1=K=M_AH1=N_I=Y0
ブ=ラッ=ク=マ=ン=デ=ー	B=L_AE1=K=M_AH1=N=D_I=Y0
ブ=ラッ=ク=マ=ン=バ	B=L_AE1=K=M_AA1=M=B_AH0
ブ=ラッ=ク=ミュ=ー=ジッ=ク	B=L_AE1=K=M=Y_U=W1=Z_IH0=K
ブ=ラッ=シュ=アッ=プ	B=R_AH1=SH=AH1=P
ブ=ラッ=ド=オ=レ=ン=ジ	B=L_AH1=D=AO1=R_IH0=N=JH
ブ=ラッ=ド=ス=ポ=ー=ツ	HH_AO1=R=S=S=P_AO1=R=T=S
ブ=ラッ=ド=バ=ン=ク	B=L_AH1=D=B_AE1=N=G=K
ブ=ラ=トッ=プ	B=R_AA1=T_AA1=P
ブ=ラ=マ=ン=ジェ	B=L_AH0=M_AA1=N=JH
ブ=ラ=ン=ク=ディ=ス=ク	B=L_AE1=N=G=K=D_IH1=S=K
ブ=ラ=ン=ケッ=ト=エ=リ=ア	B=L_AE1=N=G=K_AH0=T=EH1=R_I=Y0=AH0
ブ=ラ=ン=ケッ=ト=ス=テッ=チ	B=L_AE1=N=G=K_AH0=T=S=T_IH1=CH
ブ=ラ=ン=デ=ー=グ=ラ=ス	B=R_AE1=N=D_I=Y0=G=L_AE1=S
ブ=ラ=ン=ド=イ=メ=ー=ジ	B=R_AE1=N=D=IH1=M_AH0=JH
ブ=ラ=ン=ド=ウィ=ン=ド=ウ	B=R_AE1=N=D=W_IH1=N=D_O=W0
ブ=ラ=ン=ド=ロ=イ=ヤ=リ=ティ=ー	B=R_AE1=N=D=L_O=Y1=AH0=L=T_I=Y0
ブ=ラ=ン=ニュ=ー	B=R_AE1=N=D=N_U=W1
ブ=ラ=ン=マ=ン=ジェ	B=L_AH0=M_AA1=N=JH
ブ=リ=ー=チ=ー=ズ	B=R_I=Y1=CH_I=Y1=Z
ブ=リ=ー=フ=ケ=ー=ス=コ=ン=ピュ=ー=タ	B=R_I=Y1=F=K_E=Y2=S=K_AH0=M=P=Y_U=W1=T_E=R0
ブ=リ=ス=タ=ー=パッ=ク	B=L_IH1=S=T_E=R0=P_AE1=K
ブ=リッ=ク=チ=ー=ズ	B=R_IH1=K=CH_I=Y1=Z
ブ=リ=ティッ=シュ=コ=ロ=ン=ビ=ア	B=R_IH1=T_IH0=SH=K_AH0=L_AH1=M=B_I=Y0=AH0
ブ=リ=リ=ア=ン=ト=カッ=ト	B=R_IH1=L=Y_AH0=N=T=K_AH1=T
ブ=ル=ー=エ=ン=ジェ=ル=フィッ=シュ	B=L_U=W1=E=Y1=N=JH_AH0=L=F_IH2=SH
ブ=ル=ー=エ=ン=ゼ=ル	B=L_U=W1=E=Y1=N=JH_AH0=L=F_IH2=SH
ブ=ル=ー=オ=ー=シャ=ン	B=L_U=W1=O=W1=SH_AH0=N
ブ=ル=ー=ジ=ー=ン=ズ	B=L_U=W1=JH_I=Y1=N=Z
ブ=ル=ー=チ=ー=ズ	B=L_U=W1=CH_I=Y1=Z
ブ=ル=ー=デ=ー	B=L_U=W1=D_E=Y1
ブ=ル=ー=デ=ー=ジ=ー	B=L_U=W1=D_E=Y1=Z_I=Y0
ブ=ル=ー=ト=レ=ー=ン	B=L_U=W1=T=R_E=Y1=N
ブ=ル=ー=ト=レ=イ=ン	B=L_U=W1=T=R_E=Y1=N
ブ=ル=ー=ノ=ー=ト	B=L_U=W1=N_O=W1=T
ブ=ル=ー=ブッ=ク	B=L_U=W1=B_UH1=K
ブ=ル=ー=ボ=ー=イ	B=L_U=W1=B_O=Y1
ブ=ル=ー=マ=ウ=ン=テ=ン	B=L_U=W1=M_A=W1=N=T_AH0=N
ブ=ル=ー=マ=ン=デ=ー	B=L_U=W1=M_AH1=N=D_I=Y0
ブ=ル=ー=ム=ー=ン	B=L_U=W1=M_U=W1=N
ブ=ル=ー=ラ=イ=ト	B=L_U=W1=L_A=Y1=T
ブ=ル=ー=リ=ボ=ン	B=L_U=W1=R_IH1=B_AH0=N
ブ=ル=シャ=ー=ク	B_UH1=L=SH_AA1=R=K
ブ=ル=ジョ=ア	B_UH0=R=ZH=W_AA1
ブ=ル=ジョ=ワ	B_UH0=R=ZH=W_AA1
ブ=ル=タ=ー=ニュ	B=R_IH1=T_AH0=N_I=Y0
ブ=ル=テ=リ=ア	B_UH1=L=T_EH1=R_I=Y0=E=R0
ブ=レ=ー=キ=オ=イ=ル	B=R_E=Y1=K=O=Y1=L
ブ=レ=ー=キ=シュ=ー	B=R_E=Y1=K=SH_U=W1
ブ=レ=ー=キ=ド=ラ=ム	B=R_E=Y1=K=D=R_AH1=M
ブ=レ=ー=キ=フ=ル=ー=ド	B=R_E=Y1=K=F=L_U=W1=AH0=D
ブ=レ=ー=キ=ラ=ン=プ	B=R_E=Y1=K=L_A=Y1=T
ブ=レ=ー=ド=サ=ー=バ	B=L_E=Y1=D=S_E=R1=V_E=R0
ブ=レ=ザ=ー=コ=ー=ト	B=L_E=Y1=Z_E=R0=K_O=W1=T
ブ=レ=ン=ド=コ=ー=ヒ=ー	B=L_EH1=N=D_IH0=D=K_AA1=F_I=Y0
ブ=ロ=ー=ク=ン=イ=ン=グ=リッ=シュ	B=R_O=W1=K_AH0=N=IH1=N=G=G=L_IH0=SH
ブ=ロ=ー=ク=ン=ハ=ー=ト	B=R_O=W1=K_AH0=N=HH_AA1=R=T
ブ=ロ=ー=ド=キャ=ス=ト=ア=ド=レ=ス	B=R_AO1=D=K_AE2=S=T=AE1=D=R_EH2=S
ブ=ロ=ー=ド=キャ=ス=ト=ス=ト=ー=ム	B=R_AO1=D=K_AE2=S=T=S=T_AO1=R=M
ブ=ロ=ー=ド=バ=ン=ド=ル=ー=タ	B=R_AO1=D=B_AE2=N=D=R_U=W1=T_E=R0
ブ=ロ=グ=コ=メ=ン=ト	B=L_AO1=G=K_AA1=M_EH0=N=T
ブ=ロッ=ク=ゲ=ー=ジ	B=L_AA1=K=G_E=Y1=JH
ブ=ロッ=ク=ゲ=ジ	B=L_AA1=K=G_E=Y1=JH
ブ=ロッ=ク=サ=イ=ズ	B=L_AA1=K=S_A=Y1=Z
ブ=ロッ=ク=ソ=フ=ト	B=L_AA1=K=S_AO1=F=T
ブ=ロッ=ク=チェッ=ク	B=L_AA1=K=CH_EH1=K
ブ=ロッ=ク=デ=バ=イ=ス	B=L_AA1=K=D_IH0=V_A=Y1=S
ブ=ロッ=ク=ト=レ=ー=ディ=ン=グ	B=L_AA1=K=T=R_E=Y1=D_IH0=N=G
ブ=ロッ=ク=バッ=ファ=リ=ン=グ	B=L_AA1=K=B_AH1=F_E=R0=IH0=N=G
ブ=ロッ=ク=プ=ラ=ン	B=L_AA1=K=P=L_AE1=N
ブ=ロッ=ク=ポ=イ=ン=ト	B=L_AA1=K=P_O=Y1=N=T
ブ=ロッ=ク=レ=ベ=ル=バッ=ク=アッ=プ	B=L_AA1=K=L_EH1=V_AH0=L=B_AE1=K_AH2=P
プ=ー=ル=バ=ー	P_U=W1=L=B_AA1=R
プ=ア=ー=ホ=ワ=イ=ト	P_U=W1=R=W_A=Y1=T
プ=ア=ルッ=ク	P_U=W1=R=L_UH1=K
プ=エ=ブ=ロ=イ=ン=ディ=ア=ン	P=W_EH1=B=L_O=W0=IH1=N=D_I=Y0=AH0=N
プ=エ=ル=ト=リ=コ	P=W_EH1=R=T_O=W2=R_I=Y1=K_O=W0
プ=チ=フ=ー=ル	P_EH1=T_I=Y0=F_AO1=R
プ=チ=ブ=ル=ジョ=ア	P_EH1=T_I=Y0=B_UH0=R=ZH=W_AA1
プッ=シュ=カ=ー=ト	P_UH1=SH=K_AA1=R=T
プッ=シュ=テ=ク=ノ=ロ=ジ=ー	P_UH1=SH=T_EH0=K=N_AA1=L_AH0=JH_I=Y0
プッ=シュ=バ=ン=ト	P_UH1=SH=B_AH1=N=T
プッ=シュ=ロッ=ク	P_UH1=SH=L_AA1=K
プッ=ト=オ=プ=ショ=ン	P_UH1=T=AA1=P=SH_AH0=N
プ=ラ=イ=ス=テ=ー=カ=ー	P=R_A=Y1=S=T_E=Y1=K_E=R0
プ=ラ=イ=ス=メ=ー=カ=ー	P=R_A=Y1=S=M_E=Y1=K_E=R0
プ=ラ=イ=ス=リ=ー=ダ=ー	P=R_A=Y1=S=L_I=Y1=D_E=R0
プ=ラ=イ=ス=リ=ー=ダ=ー=シッ=プ	P=R_A=Y1=S=L_I=Y1=D_E=R0=SH_IH2=P
プ=ラ=イ=ズ=マ=ネ=ー	P=R_A=Y1=Z=M_AH1=N_I=Y0
プ=ラ=イ=バ=シ=ー=ポ=リ=シ=ー	P=R_A=Y1=V_AH0=S_I=Y0=P_AA1=L_AH0=S_I=Y0
プ=ラ=イ=ベ=ー=ト=ア=ド=レ=ス	P=R_A=Y1=V_AH0=T=AE1=D=R_EH2=S
プ=ラ=イ=ベ=ー=ト=エ=ク=イ=ティ	P=R_A=Y1=V_AH0=T=EH1=K=W_AH0=T_I=Y0
プ=ラ=イ=ベ=ー=ト=エ=ク=イ=ティ=ー	P=R_A=Y1=V_AH0=T=EH1=K=W_AH0=T_I=Y0
プ=ラ=イ=ベ=ー=ト=ジェッ=ト	P=R_A=Y1=V_AH0=T=JH_EH1=T
プ=ラ=イ=ベ=ー=ト=ブ=ラ=ウ=ジ=ン=グ	P=R_A=Y1=V_AH0=T=B=R_A=W1=Z_IH0=N=G
プ=ラ=イ=ベ=ー=ト=ブ=ラ=ン=ド	P=R_A=Y1=V_AH0=T=B=R_AE1=N=D
プ=ラ=イ=ベ=ー=ト=ル=ー=ム	P=R_A=Y1=V_AH0=T=R_U=W1=M
プ=ラ=イ=マ=リ=ー=ケ=ア	P=R_A=Y1=M_EH2=R_I=Y0=K_EH1=R
プ=ラ=イ=マ=リ=ー=ス=ク=ー=ル	P=R_A=Y1=M_EH2=R_I=Y0=S=K_U=W1=L
プ=ラ=イ=マ=リ=キャッ=シュ	P=R_A=Y1=M_EH2=R_I=Y0=K_AE1=SH
プ=ラ=イ=マ=リ=サ=イ=ト	P=R_A=Y1=M_EH2=R_I=Y0=S_A=Y1=T
プ=ラ=イ=マ=リ=ディ=ス=ク	P=R_A=Y1=M_EH2=R_I=Y0=D_IH1=S=K
プ=ラ=イ=マ=リ=マ=ス=タ	P=R_A=Y1=M_EH2=R_I=Y0=M_AE1=S=T_E=R0
プ=ラ=イ=マ=リ=リ=ン=グ	P=R_A=Y1=M_EH2=R_I=Y0=R_IH1=N=G
プ=ラ=イ=ム=タ=イ=ム	P=R_A=Y1=M=T_A=Y1=M
プ=ラ=イ=ム=ミ=ニ=ス=タ=ー	P=R_A=Y1=M=M_IH1=N_AH0=S=T_E=R0
プ=ラ=イ=ム=レ=ー=ト	P=R_A=Y1=M=R_E=Y1=T
プ=ラ=グ=ア=ン=ド=プ=レ=イ	P=L_AH1=G=AH0=N=D=P=L_E=Y1
プ=ラ=グ=コ=ン=パ=チ=ブ=ル	P=L_AH1=G=K_AH0=M=P_AE1=T_AH0=B_AH0=L
プ=ラ=ス=チッ=ク=タ=イ=ル	P=L_AE1=S=T_IH0=K=T_A=Y1=L
プ=ラ=ス=チッ=ク=マ=ネ=ー	P=L_AE1=S=T_IH0=K=M_AH1=N_I=Y0
プ=ラ=ス=チッ=ク=モ=デ=ル	P=L_AE1=S=T_IH0=K=M_AA1=D_AH0=L
プ=ラ=ス=ド=ラ=イ=バ	P=L_AH1=S=D=R_A=Y1=V_E=R0
プ=ラ=ス=ド=ラ=イ=バ=ー	P=L_AH1=S=D=R_A=Y1=V_E=R0
プ=ラ=ズ=マ=ディ=ス=プ=レ=ー	P=L_AE1=Z=M_AH0=D_IH0=S=P=L_E=Y1
プ=ラ=ズ=マ=ディ=ス=プ=レ=イ	P=L_AE1=Z=M_AH0=D_IH0=S=P=L_E=Y1
プ=ラ=チ=ナ	P=L_AE1=T=N_AH0=M
プ=ラ=チ=ナ=ブ=ロ=ン=ド	P=L_AE1=T=N_AH0=M=B=L_AA1=N=D
プ=ラ=ト=ニッ=ク=ラ=ブ	P=L_AH0=T_AA1=N_IH0=K=L_AH1=V
プ=ラ=ナ=リ=ア	P=L_AH0=N_EH1=R_I=Y0=AH0=N
プ=ラ=ネ=タ=リ=ー=バ=ウ=ン=ダ=リ=ー	P=L_AE1=N_AH0=T_EH2=R_I=Y0=B_A=W1=N=D_E=R0=I=Y0=Z
プ=ラ=ム=ケ=ー=キ	P=L_AH1=M=K_E=Y1=K
プ=ラ=ン=ジャ=ー=ポ=ン=プ	P=L_AH1=N=JH_E=R0=P_AH1=M=P
プ=ラ=ン=ト=オ=パ=ー=ル	P=L_AE1=N=T=O=W1=P_AH0=L
プ=ラ=ン=ト=リ=ノ=ベ=ー=ショ=ン	P=L_AE1=N=T=R_EH2=N_AH0=V_E=Y1=SH_AH0=N
プ=ラ=ン=ト=レ=イ=ア=ウ=ト	P=L_AE1=N=T=L_E=Y1=A=W2=T
プ=リ=エ=ン=プ=ティ=ブ=マ=ル=チ=タ=ス=ク	P=R_I=Y0=EH1=M=P=T_IH0=V=M_AH1=L=T_I=Y0=T_AE2=S=K_IH0=N=G
プ=リ=ザ=ー=ブ=ド=フ=ラ=ワ=ー	P=R_AH0=Z_E=R1=V=D=F=L_A=W1=E=R0
プ=リ=マ=ス=ロッ=ク	P=L_IH1=M_AH0=TH=R_AA1=K
プ=リ=マ=ド=ン=ナ	P=R_I=Y1=M_AH0=D_AA1=N_AH0
プ=リ=ミ=ティ=ブ=ア=ー=ト	P=R_IH1=M_AH0=T_IH0=V=AA1=R=T
プ=リ=ン=ス=メ=ロ=ン	P=R_IH1=N=S=M_EH1=L_AH0=N
プ=リ=ン=セ=ス=コ=ー=ト	P=R_IH1=N=S_EH0=S=K_O=W1=T
プ=リ=ン=セ=ス=ラ=イ=ン	P=R_IH1=N=S_EH0=S=L_A=Y1=N
プ=リ=ン=タ=ウィ=ン=ド=ウ	P=R_IH1=N=T_E=R0=W_IH1=N=D_O=W0
プ=リ=ン=タ=エ=ン=ジ=ン	P=R_IH1=N=T_E=R0=EH1=N=JH_AH0=N
プ=リ=ン=タ=ケ=ー=ブ=ル	P=R_IH1=N=T_E=R0=K_E=Y1=B_AH0=L
プ=リ=ン=タ=コ=ネ=ク=タ	P=R_IH1=N=T_E=R0=K_AH0=N_EH1=K=T_E=R0
プ=リ=ン=タ=セッ=ショ=ン	P=R_IH1=N=T_E=R0=S_EH1=SH_AH0=N
プ=リ=ン=タ=ド=ラ=イ=バ	P=R_IH1=N=T_E=R0=D=R_A=Y1=V_E=R0
プ=リ=ン=タ=バッ=ファ	P=R_IH1=N=T_E=R0=B_AH1=F_E=R0
プ=リ=ン=タ=フォ=ン=ト	P=R_IH1=N=T_E=R0=F_AA1=N=T
プ=リ=ン=タ=ポ=ー=ト	P=R_IH1=N=T_E=R0=P_AO1=R=T
プ=リ=ン=ト=キュ=ー	P=R_IH1=N=T=K=Y_U=W1
プ=リ=ン=ト=サ=ー=バ=ー	P=R_IH1=N=T=S_E=R1=V_E=R0
プ=リ=ン=ト=シ=ー=ル	P=R_IH1=N=T=S_I=Y1=L
プ=リ=ン=ト=ス=ル=ー	P=R_IH1=N=T=TH=R_U=W1
プ=リ=ン=ト=プ=レ=ビュ=ー	P=R_IH1=N=T=P=R_I=Y1=V=Y_U=W2
プ=リ=ン=ト=プ=ロ=セッ=サ	P=R_IH1=N=T=P=R_AA1=S_EH2=S_E=R0
プ=リ=ン=ト=マ=ネ=ー=ジャ	P=R_IH1=N=T=M_AE1=N_AH0=JH_E=R0
プ=ル=ー=フ=コ=イ=ン	P=R_U=W1=F=K_O=Y1=N
プ=ル=ー=ム=テ=ク=ト=ニ=ク=ス	P=L_U=W1=M=T_EH0=K=T_AA1=N_IH0=K=S
プ=ル=シ=ア=ン=ブ=ル=ー	P=R_AH1=SH_AH0=N=B=L_U=W1
プ=ル=シャ=ン=ブ=ル=ー	P=R_AH1=SH_AH0=N=B=L_U=W1
プ=ル=ド=ポ=ー=ク	P_UH1=L=D=P_AO1=R=K
プ=ル=マ=ン=カ=ー	P_UH1=L=M_AH0=N=K_AA1=R
プ=レ=ー=イ=ン=グ=マ=ネ=ー=ジャ=ー	P=L_E=Y1=IH0=N=G=M_AE1=N_AH0=JH_E=R0
プ=レ=ー=ガ=イ=ド	P=L_E=Y1=G_A=Y1=D
プ=レ=ー=ス=ポッ=ト	P=L_E=Y1=S=P_AA1=T
プ=レ=ー=セ=ラ=ピ=ー	P=L_E=Y1=TH_EH1=R_AH0=P_I=Y0
プ=レ=ー=ト=ア=ン=パ=イ=ア	P=L_E=Y1=T=AH1=M=P_A=Y2=E=R0
プ=レ=ー=ト=テ=ク=ト=ニ=ク=ス	P=L_E=Y1=T=T_EH0=K=T_AA1=N_IH0=K=S
プ=レ=ー=ヤ=ー=ピ=ア=ノ	P=L_E=Y1=E=R0=P_I=Y0=AE1=N_O=W0
プ=レ=ー=リ=ー=ドッ=グ	P=R_EH1=R_I=Y0=D_AO1=G
プ=レ=ー=ン=オ=ム=レ=ツ	P=L_E=Y1=N=AA1=M=L_AH0=T
プ=レ=ー=ン=ソ=ー=ダ	P=L_E=Y1=N=S_O=W1=D_AH0
プ=レ=ー=ン=テ=キ=ス=ト	P=L_E=Y1=N=T_EH1=K=S=T
プ=レ=ー=ン=ト=ー	P=L_E=Y1=N=T_O=W1
プ=レ=ー=ン=ノッ=ト	P=L_E=Y1=N=N_AA1=T
プ=レ=イ=ガ=イ=ド	T_IH1=K_AH0=T=E=Y1=JH_AH0=N=S_I=Y0
プ=レ=イ=ス=メ=ン=ト=テ=ス=ト	P=L_E=Y1=S=M_AH0=N=T=T_EH1=S=T
プ=レ=イ=ン=グ=カ=ー=ド	P=L_E=Y1=IH0=N=G=K_AA1=R=D=Z
プ=レ=キャ=ス=ト=コ=ン=ク=リ=ー=ト	P=R_I=Y0=K_AE1=S=T=K_AH0=N=K=R_I=Y1=T
プ=レ=ス=カ=ン=ファ=レ=ン=ス	P=R_EH1=S=K_AA1=N=F_E=R0=AH0=N=S
プ=レ=ス=ク=ラ=ブ	P=R_EH1=S=K=L_AH1=B
プ=レ=ス=コ=ー=ド	P=R_EH1=S=K_O=W1=D
プ=レ=ス=ハ=ム	P=R_EH1=S=T=HH_AE1=M
プ=レ=ス=リ=リ=ー=ス	P=R_EH1=S=R_I=Y0=L_I=Y1=S
